galaxy,n_pts,Q_best,r_t_kpc,chi2_resp,chi2_bar,chi2_nfw,chi2_bur,chi2_rsig,chi2_rydk,chi2_nydk,chi2_rsyd,bic_resp,bic_bar,bic_nfw,bic_bur,bic_rsig,bic_rydk,bic_nydk,bic_rsyd,dbic_resp,dbic_nfw,dbic_bur,dbic_resp_vs_nfw,dbic_resp_vs_bur,dbic_rsig,dbic_rydk,dbic_nydk,dbic_rsyd,dbic_rsig_vs_nfw,dbic_rydk_vs_nfw,dbic_rydk_vs_nydk,dbic_rsyd_vs_nydk,sigma_fit_kpc,sigma_fit_k3_kpc,Y_disk_fit,Y_disk_k3_fit,Y_disk_nfw_fit,M_vir_nfw,c_nfw,distance_mpc,bic_fsgd,chi2_fsgd,dbic_fsgd,dbic_fsgd_vs_nfw,dbic_fsgd_vs_nydk,sigma_prescribed_kpc,Y_disk_fsgd_fit,bic_prior_rydk,bic_prior_nydk,bic_prior_rsyd,bic_prior_rsig,dbic_prior_rydk_vs_nydk,dbic_prior_rsyd_vs_nydk,dbic_prior_rydk_vs_bar,dbic_prior_nydk_vs_bar
CamB,9,111.33122949479556,0.73,31.31289718475657,45.040389922287986,45.040389922287986,23.0823643234261,30.874956059762205,0.7111029843691361,27.06827659690363,0.5988279966606539,33.51012176209279,45.040389922287986,49.43483907696042,27.47681347809854,35.26940521443464,5.105552139041575,33.65995032891229,7.190501728669312,-11.530268160195199,4.3944491546724365,-17.563576444189447,-15.924717314867635,6.0333082839942485,-9.770984707853344,-39.93483778324641,-11.380439593375698,-37.849888193618675,-14.16543386252578,-44.329286937918845,-28.554398189870714,-26.469448600242977,9.997177400037561,7.409672758002071,0.10187988281249884,0.10000012395510471,0.10124298923102715,2.2801361034179103e-26,10.153526498461805,3.36,6.6630123693659975,2.2685632146935584,-38.377377552921985,-42.77182670759443,-26.99693795954629,0.73,0.10072036743163704,138.314968973384,167.8469639013981,154.63108033478187,50.683120648218036,-29.531994928014115,-13.215883566616242,93.27457905109601,122.80657397911013
D564-8,6,723.1869917431596,1.02,15.00274567241353,236.10085808714896,5.059356443930261,0.2735319687670876,4.8814350257528565,1.010063760115594,3.6540250803562504,0.15868472342043485,16.794505141641586,236.10085808714896,8.642875382386372,3.8570509072231975,8.464953964208966,4.593582698571704,9.029303488040416,5.5339631311046,-219.30635294550737,-227.4579827047626,-232.24380717992577,8.151629759255215,12.93745423441839,-227.63590412294,-231.50727538857726,-227.07155459910854,-230.56689495604437,-0.17792141817740514,-4.0492926838146674,-4.435720789468712,-3.4953403569358157,0.5327050338898961,0.9263886044637771,1.3848455673559183,1.1825632571730353,0.10053647110510477,2.3276824660603808,3.0005375490708963,8.79,3.7700321723551204,0.1865132338990104,-232.33082591479385,-4.872843210031251,-5.259271315685295,1.02,1.2145110277645363,34.3812327619467,144.31213611084573,27.041963611231086,14.657585618922909,-109.93090334889902,-117.27017249961465,-201.71962532520226,-91.78872197630324
D631-7,16,2630.7335776567816,1.35,15.430699634746885,1693.1432428557766,101.83150999068758,14.274629163199837,4.737081412177221,4.756471446177026,48.27950968488871,1.6913054621135526,18.203288356986665,1693.1432428557766,107.37668743516714,19.8198066076794,10.282258856656783,10.301648890656589,56.59727585160805,10.009071628832896,-1674.93995449879,-1585.7665554206094,-1673.3234362480973,-89.17339907818048,-1.6165182506927351,-1682.8609839991198,-1682.84159396512,-1636.5459670041687,-1683.1341712269436,-97.09442857851036,-97.07503854451055,-46.295626960951466,-46.58820422277516,2.7343790347719126,2.418747812676213,0.30046487333176436,0.37222886275619027,0.1000959493291165,27.55075225354654,3.000611136820737,7.72,40.136396747460836,34.59121930298127,-1653.0068461083158,-67.2402906877063,-16.460879104147217,1.35,0.17349501154358898,27.19861060779766,192.5694920030869,18.56910329949765,13.136918522738224,-165.37088139528925,-174.00038870358927,-1665.944632247979,-1500.5737508526897
DDO064,14,3482.790160601762,1.88,16.533342550283542,179.12452356085254,6.962862886827536,3.7733694076384743,14.301376839960742,6.325088961724693,2.488677939257829,6.059169176171468,19.1723998798988,179.12452356085254,12.240977546058053,9.05148406686899,19.57949149919126,11.60320362095521,10.405849928103603,13.976341165017242,-159.95212368095375,-166.8835460147945,-170.07303949398354,6.931422333840748,10.12091581302981,-159.5450320616613,-167.52131993989732,-168.71867363274893,-165.1481823958353,7.338513953133207,-0.6377739251028434,1.1973536928516069,3.5704912369136395,9.988803147683054,3.182180859613635,1.4989106964319936,1.4998300895362768,1.4999758774843164,94.05912853661418,3.0005136959480434,6.8,11.6592433847913,6.381128725560782,-167.46528017606124,-0.5817341612667537,1.2533934566876965,1.88,1.4989106964319936,47.712225761217525,46.574128826532416,53.76596806256266,34.980745773793615,1.1380969346851089,7.191839236030248,-131.412297799635,-132.55039473432012
DDO154,12,2262.655299492838,0.49,229.95382884296592,70395.93204834744,117.7126852772586,12.441595376762407,41.35841319683756,24.45553837835078,106.67246932279274,16.62153520718844,232.43873549275392,70395.93204834744,122.6824985768346,17.411408676338407,46.32822649641356,29.42535167792678,114.12718927215674,24.076255156552442,-70163.49331285468,-70273.24954977061,-70378.5206396711,109.75623691591932,215.02732681641552,-70349.60382185104,-70366.50669666952,-70281.80485907529,-70371.85579319089,-76.35427208042104,-93.25714689890782,-84.70183759422996,-90.05093411560429,1.5405336064058077,1.684775500498365,1.3695991403067524,0.9535457557460895,1.046888321167609,8.077845158576178,5.146031212442103,4.04,921.4222936893364,916.4524803897604,-69474.50975465811,798.7397951125017,807.2951044171796,0.49,1.4999504096295233,58.3732365376766,126.03388721108081,33.175395400610206,47.916589176897006,-67.6606506734042,-92.85849181047061,-70337.55881180977,-70269.89816113636
DDO161,31,2932.894833895948,2.02,263.1617346178169,11524.338461435424,40.17527176166923,7.698408200157539,13.165082350969842,237.00902979087397,32.63837410385828,7.513823251094487,266.59572182230204,11524.338461435424,47.04324617063952,14.566382609127832,20.033056759940134,243.87700419984427,42.94033571731372,17.815784864549926,-11257.74273961312,-11477.295215264785,-11509.772078826296,219.55247565166252,252.0293392131742,-11504.305404675484,-11280.461457235579,-11481.39812571811,-11506.522676570874,-27.010189410699386,196.83375802920474,200.93666848253054,-25.124550852763797,4.048139727505867,4.541298221679596,0.20027062200881005,0.65896126088663,0.3683916942026642,17.938237210943406,3.0003925339050705,7.5,239.7132069806309,232.8452325716606,-11284.625254454793,192.66996080999138,196.77287126331717,2.02,0.20005260527093255,292.21467929553177,49.56151818629229,21.583781522874272,25.269876326280134,242.65316110923948,-27.977736663418018,-11232.123782139892,-11474.776943249131
DDO168,10,3192.2914677900853,0.82,32.54285477059882,1608.646173343166,90.57635477688527,34.774250384624565,17.600636710822442,31.434718428492065,58.74590646350607,14.081958689764576,34.845439863592865,1608.646173343166,95.18152496287335,39.37942057061266,22.205806896810536,36.039888614480155,65.65366174248821,20.989713968746713,-1573.8007334795732,-1513.4646483802928,-1569.2667527725534,-60.33608509928049,-4.5339807070197935,-1586.4403664463555,-1572.606284728686,-1542.992511600678,-1587.6564593744195,-72.97571806606283,-59.1416363483932,-29.613773128008056,-44.6639477737415,1.3720391829777692,1.239607406582592,0.5675217773602346,0.34455486434467697,0.10006034411852605,72.32479548916025,3.0002458790246957,4.25,46.82310670460963,42.217936518621535,-1561.8230666385564,-48.358418258263725,-18.830555037878582,0.82,0.17505630975588965,33.08821703238543,201.68180489442994,32.372840047457856,23.858046732436637,-168.5935878620445,-169.3089648469721,-1575.5579563107806,-1406.9643684487362
DDO170,8,2753.4206953793037,1.87,43.123503906560224,4794.596828880253,12.970370164360673,10.114711504989074,41.64651917239319,36.8559810250572,12.964479627085318,36.29664166473197,45.20294544824006,4794.596828880253,17.129253247720346,14.273594588348747,45.80540225575286,41.014864108416866,19.202804252124825,42.534966289771475,-4749.393883432013,-4777.467575632533,-4780.323234291905,28.073692200519712,30.92935085989131,-4748.791426624501,-4753.581964771836,-4775.394024628128,-4752.061862590482,28.676149008032514,23.88561086069652,21.81205985629204,23.33216203764665,1.830796522654395,1.8279264206894685,0.9334337386445989,0.9213739279337136,0.5170560679657914,5.310027200947242,5.846192217394073,15.4,40.46066987745009,36.30178679409042,-4754.136159002803,23.33141662972974,21.257865625325262,1.87,0.9051808116043456,47.601230588502496,16.91101092903634,50.2823177786979,47.49774266862568,30.690219659466155,33.371306849661565,-4746.995598291751,-4777.685817951217
ESO079-G014,15,18486.411101066868,0.98,264.81401282774806,5927.188462785567,49.49544987517454,13.322293240129115,9.413163129512961,89.80740812847542,46.75417594923022,17.80193730586585,267.52206302885025,5927.188462785567,54.911550277378964,18.738393642333534,14.82926353171738,95.22350853067984,54.878326552536855,25.92608790917248,-5659.666399756717,-5872.276912508188,-5908.450069143233,212.61051275147128,248.78366938651672,-5912.3591992538495,-5831.964954254887,-5872.31013623303,-5901.2623748763945,-40.082286745661584,40.31195825330087,40.34518197814298,-28.952238643364375,4.920634916338114,5.498546448019665,1.499995510917871,0.7443130330333123,0.7703463288307666,377.0492885380432,4.704773375844188,28.7,100.76213241037843,95.346032008174,-5826.426330375189,45.85058213299946,45.88380585784157,0.98,1.4999994680285456,131.3928796764564,55.17592352344297,33.39551970729271,21.709812520252658,76.21695615301343,-21.780403816150255,-5795.79558310911,-5872.012539262124
ESO116-G012,15,9946.901773239608,1.85,36.05343720811813,4944.033226925429,30.5503395947389,10.100222524923065,27.480615032782847,8.944343898820485,30.536932134393307,7.3870487488028065,38.761487409220344,4944.033226925429,35.96643999694332,15.516322927127487,32.896715434987264,14.360444301024906,38.661082737699935,15.511199352109436,-4905.271739516208,-4908.066786928485,-4928.516903998301,2.7950474122770217,23.245164482092857,-4911.136511490441,-4929.672782624404,-4905.372144187729,-4928.522027573319,-3.0697245619560576,-21.605995695918416,-24.30063843667503,-23.1498833855905,1.6509778562937982,2.3103167282642745,0.8634772993358811,0.9540338305072563,0.4730292589137639,59.93959106064069,7.23980584183009,13.0,16.647163863415457,11.231063461211036,-4927.386063062013,-19.319276133527865,-22.013918874284478,1.85,0.8155140424645381,18.000445218039317,37.72022239609495,25.229499573162713,34.498151041407404,-19.71977717805563,-12.490722822932234,-4926.032781707389,-4906.313004529334
