name,type,source,redshift,M500_Msun,M_bar_Msun,M_gas_Msun,M_star_Msun,sigma_kms,sigma2_kms2,Q1_MOND_kms2,Q1_cluster_kms2,IRS_closure,Q1_ref_kms2
PSZ2 G000.04+45.13,cluster,PSZ2_Planck2016,0.1198,396241100000000.0,53492548500000.0,49530137500000.0,3962411000000.0,703.8754159575843,495440.6011894624,922979.8225129253,265374.4993458124,0.2875192857665056,922979.8225129253
PSZ2 G000.13+78.04,cluster,PSZ2_Planck2016,0.171,512239100000000.06,69152278500000.01,64029887500000.01,5122391000000.001,767.2982963487515,588746.6755796964,1049418.7258386123,291329.6409790464,0.2776104845529974,1049418.7258386123
PSZ2 G000.40-41.86,cluster,PSZ2_Planck2016,0.1651,529705300000000.0,71510215500000.0,66213162500000.0,5297053000000.0,775.9914372562049,602162.7106949505,1067160.1656174643,294604.42485100054,0.2760639258686543,1067160.1656174643
PSZ2 G000.77-35.69,cluster,PSZ2_Planck2016,0.3416,633356200000000.0,85503087000000.0,79169525000000.0,6333562000000.0,824.0150330604395,679000.7747095971,1166907.5767634378,311260.54783129715,0.2667396750431741,1166907.5767634378
PSZ2 G002.08-68.28,cluster,PSZ2_Planck2016,0.14,283529700000000.0,38276509500000.0,35441212500000.0,2835297000000.0,629.0056024901099,395648.0479639462,780749.5197933426,231024.60825539625,0.2959010571233478,780749.5197933426
PSZ2 G002.42+69.64,cluster,PSZ2_Planck2016,0.180518,351040100000000.0,47390413500000.0,43880012500000.0,3510401000000.0,675.8047799747345,456712.10063669935,868741.9861747902,252890.67121454937,0.2910998607631103,868741.9861747902
PSZ2 G002.77-56.16,cluster,PSZ2_Planck2016,0.1411,441113200000000.0,59550282000000.0,55139150000000.0,4411132000000.0,729.7098627134976,532476.4837413515,973839.6962942888,276356.6758875515,0.2837804588775339,973839.6962942888
PSZ2 G002.82+39.23,cluster,PSZ2_Planck2016,0.1533,573601700000000.0,77436229500000.0,71700212500000.0,5736017000000.0,797.0296954371748,635256.3354086757,1110497.6951452652,302210.85595212574,0.2721400118823239,1110497.6951452652
PSZ2 G003.91-42.03,cluster,PSZ2_Planck2016,0.1521,471620400000000.0,63668754000000.0,58952550000000.0,4716204000000.0,746.2915181023277,556951.0299914769,1006951.9279302828,283118.08591287694,0.2811634578175006,1006951.9279302828
PSZ2 G003.93-59.41,cluster,PSZ2_Planck2016,0.151,719475400000000.0,97129179000000.0,89934425000000.0,7194754000000.0,860.0798181743455,739737.2936308152,1243713.708533551,321994.40766971523,0.258897530404626,1243713.708533551
PSZ2 G004.04+42.23,cluster,PSZ2_Planck2016,0.151272,359205200000000.0,48492702000000.0,44900650000000.0,3592052000000.0,681.0461100941795,463823.8040744133,878787.2638817403,255261.5420426133,0.2904702338482732,878787.2638817403
PSZ2 G004.13+56.81,cluster,PSZ2_Planck2016,0.38,712281800000000.0,96158043000000.0,89035225000000.0,7122818000000.0,857.180768671852,734758.870180867,1237480.5177976869,321192.7430421671,0.2595537775526242,1237480.5177976869
PSZ2 G004.45-19.55,cluster,PSZ2_Planck2016,0.54,1035693100000000.0,139818568500000.0,129461637500000.0,10356931000000.0,972.0733613827086,944926.619909878,1492203.2723692486,343580.9386482282,0.2302507607443501,1492203.2723692486
PSZ2 G005.91-28.26,cluster,PSZ2_Planck2016,0.1728,428649200000000.0,57867642000000.0,53581150000000.0,4286492000000.0,722.7160106758101,522318.43208715774,959982.8077534708,273435.4906093577,0.2848337370220671,959982.8077534708
PSZ2 G006.05+29.43,cluster,PSZ2_Planck2016,0.2523,551503700000000.06,74452999500000.02,68937962500000.01,5515037000000.001,786.5777742318113,618704.5949154703,1088896.6503128964,298489.68936592026,0.2741212302197355,1088896.6503128964
PSZ2 G006.38+62.03,cluster,PSZ2_Planck2016,0.235712,481395300000000.0,64988365500000.0,60174412500000.0,4813953000000.0,751.4533385409417,564682.1200043272,1017333.5557541644,285173.6588253771,0.2803148064982224,1017333.5557541644
PSZ2 G006.49+50.56,cluster,PSZ2_Planck2016,0.0766,703948400000000.0,95033034000000.0,87993550000000.0,7039484000000.0,853.7979656271349,728970.9661090343,1230220.2167150043,320243.39017843426,0.2603138737498268,1230220.2167150043
PSZ2 G006.68-35.55,cluster,PSZ2_Planck2016,0.0894,416668300000000.0,56250220500000.0,52083537500000.0,4166683000000.0,715.8647748653495,512462.3758930176,946471.79611444,270535.8025445676,0.2858360953334277,946471.79611444
PSZ2 G006.76+30.45,cluster,PSZ2_Planck2016,0.203,1611646800000000.0,217572318000000.0,201455850000000.0,16116468000000.0,1127.779184341562,1271885.8886341192,1861432.8832993344,336129.1061479192,0.1805754637535683,1861432.8832993344
PSZ2 G006.82-34.71,cluster,PSZ2_Planck2016,0.1398,315257400000000.0,42559749000000.0,39407175000000.0,3152574000000.0,651.8278847472592,424879.5913340862,823275.310434253,241834.3668599862,0.2937466529057282,823275.310434253
PSZ2 G006.84+50.69,cluster,PSZ2_Planck2016,0.075728,184441600000000.0,24899616000000.0,23055200000000.0,1844416000000.0,544.3898033443409,296360.25798529014,629711.880612723,189269.4995308901,0.3005652352417536,629711.880612723
PSZ2 G007.57-33.90,cluster,PSZ2_Planck2016,0.55,627372100000000.0,84695233500000.0,78421512500000.0,6273721000000.0,821.3908594747675,674682.9440286972,1161381.8836241462,310417.21426854725,0.2672826385924635,1161381.8836241462
PSZ2 G007.76-36.83,cluster,PSZ2_Planck2016,0.089462,263860900000000.03,35621221500000.01,32982612500000.004,2638609000000.0005,613.9929879082263,376987.3892004713,753182.0587666592,223784.07765112125,0.2971181735496583,753182.0587666592
PSZ2 G008.31-64.74,cluster,PSZ2_Planck2016,0.312,774572900000000.0,104567341500000.0,96821612500000.0,7745729000000.0,881.67054140643,777342.9435839073,1290457.1722267205,327609.2645265573,0.2538706991424274,1290457.1722267205
PSZ2 G008.47-56.34,cluster,PSZ2_Planck2016,0.1486,479195800000000.0,64691433000000.0,59899475000000.0,4791958000000.0,750.2979624520917,562947.0324597604,1015006.7913002432,284715.6482700604,0.2805061510035161,1015006.7913002432
