r_kpc,g_bar_total,g_bar_gas,g_bar_galaxies,g_resp_ground,g_resp_higher,g_resp_total,m_eff_bary_msun,m_eff_ground_msun,m_eff_full_msun,m_obs_analog_msun,closure_ground,closure_full,higher_mode_fraction,mean_activation,baryon_fraction_full,gas_mass_enclosed_msun,mode_1,mode_2,mode_3,mode_4,mode_5
89.9765662851472,1368.5986390866287,364.9382423049602,1003.6603967816685,2507.4734959633547,901.7298898116594,3409.2033857750143,2576176354973.7124,7296109391977.985,8993477162456.096,17901925601172.656,0.40756003317878037,0.5023748485395886,0.26449870769639316,0.9974116884315206,0.28644942422583136,686940088935.8893,2507.4734959633547,508.82223806962173,187.62664839133924,114.5995499687934,90.68145338190509
137.2142635848495,892.2579741691818,444.4121412698142,447.8458328993677,2205.6143902441227,753.0136759667741,2958.6280662108966,3905976367550.927,13561342790300.629,16857758970282.203,36000501081297.69,0.3766987231559887,0.46826456476851186,0.2545144773574584,0.9990159714883767,0.23170199398606894,1945472465929.9707,2205.6143902441227,384.83494976240206,169.7130588752518,113.25588903830278,85.2097782908175
184.4519608845518,722.9436362404064,471.01792500971357,251.92571123069283,2041.8921943436467,565.9416307355535,2607.8338250792003,5718888737135.439,21871398680239.06,26348313692204.586,56982892139339.58,0.3838239488925411,0.46238989814303166,0.21701598671394096,0.999481056283988,0.21704951610726536,3726015378370.657,2041.8921943436467,308.7362370653392,130.72282258809335,77.04537159095173,49.43719949116923
231.68965818425403,631.6343166537127,469.65732456599756,161.97699208771522,1991.4183584537184,416.22334291705016,2407.6417013707687,7883510854627.544,32738664906653.938,37933603109536.4,79600131301643.6,0.4112890817050442,0.4765520168024288,0.17287594855998598,0.99967662181879,0.2078239399474724,5861854744984.128,1991.4183584537184,250.59782251243922,93.52572960311225,46.83855972579797,25.26123107570069
278.9273554839564,593.7111419250707,455.0909937562362,138.62014816883456,2138.4121044059652,327.1569504080482,2465.5690548140133,10739846467170.213,49422323623303.62,55340379004001.68,103071563828058.17,0.47949523406619604,0.5369121894407205,0.13269024031968427,0.9997678214685105,0.19406889978822897,8232298598416.289,2138.4121044059652,218.17633318066063,67.49005639007935,28.493030803957403,12.997530033350833
326.16505278365867,557.31224118702,434.99518207716665,122.31705910985345,2234.5020193428704,268.3700068684449,2502.872026211315,13785232336883.896,69056097064832.586,75694284105284.06,126898871555280.16,0.5441821209162614,0.5964929646542194,0.10722482174795246,0.9998159334101088,0.18211721664095346,10759694848236.03,2234.5020193428704,193.0943746647061,50.18099038259388,18.04502665476048,7.049615166384442
373.4027500833609,510.32071120286594,413.1836864637965,97.13702473906945,2198.2910567846443,224.18778464048802,2422.4788414251325,16543937236800.174,87809689288957.98,95077567227141.66,150759697878270.78,0.5824480317004809,0.6306563926913078,0.09254478545150034,0.9998399211766038,0.17400463347233605,13394880564448.434,2198.2910567846443,169.34410331632682,38.6559078655164,12.078787013509041,4.10898644513577
420.64044738306325,468.434608069239,391.49897344078636,76.93563462845265,2132.575986287897,193.52542038451392,2326.101406672411,19271330067294.414,107005188790357.4,114966795786078.39,174444344902985.62,0.6134058908580075,0.6590457022267778,0.08319732743782672,0.999850716834936,0.16762518199735743,16106209507622.77,2132.575986287897,151.53669096679994,30.936728287706924,8.496436374110973,2.5555647558960892
467.87814468276554,433.29916714188823,370.79115578289475,62.508011358993514,2073.7018987283386,171.95888786424925,2245.660786592588,22054338068364.938,127602943271635.39,136355416699714.55,197816833708586.34,0.645056039364241,0.6893013811988639,0.07657384805884591,0.9998531769875578,0.1617415618840693,18872765337483.113,2073.7018987283386,138.90966771683716,25.411947536054534,6.058375575190016,1.5788970361675254
515.1158419824677,403.47781845737484,351.4110591976492,52.06675925972567,2028.516087751107,157.7929135504356,2186.3090013015426,24892592637647.082,150042036600540.88,159777081597899.03,220790271889057.03,0.6795681499768893,0.7236599703006119,0.07217319850785003,0.999849009777842,0.15579576487879976,21680330230830.996,2028.516087751107,130.9528552279862,21.617743599632696,4.337195928747993,0.8851187940687211
