name,kind,mass_msun,q1_kms2,rt_kpc,x_kpc,y_kpc,z_kpc,scale_kpc,diffuseness,overlap,eta_eff
BCG,galaxy,1897327400000.0005,173826.78654397154,46.94452205498132,0.0,0.0,0.0,11.0,0.23431913924092834,0.062587155957602,0.35177136126809017
GAL_01,galaxy,44436160869.60261,26601.971725952277,7.18426010872066,13.012534233017746,14.812715289998982,-49.8438386677142,3.957406984231782,0.5508440569166,0.04076736651703416,0.48475834250924205
GAL_02,galaxy,167799460292.22116,51694.08375976553,13.960760038318307,78.69873208284977,62.161187182403204,33.9572794035684,5.116377383231194,0.3664827250943499,0.0562202182808499,0.41772193475658354
GAL_03,galaxy,85610280832.8816,36923.981372839444,9.971873106430015,-48.05000959103119,135.86594472264855,43.53138928858022,4.462393298642778,0.4474980027338453,0.04771846834534196,0.4467957985067029
GAL_04,galaxy,13322518778.834843,14565.947251803214,3.9337517859538713,55.168812381204845,-73.31623999421927,170.27691688294001,3.2840400425814424,0.8348366194094058,0.07261660086336273,0.6032114571659175
GAL_05,galaxy,292831061274.2926,68289.5314737369,18.442608760889872,94.30931158384116,-147.58158146908255,-158.52985381650333,5.786948050398862,0.3137814246036002,0.019893246670971497,0.3284255043500195
GAL_06,galaxy,39951253069.25912,25223.814570980754,6.812068168438632,79.93574686788872,267.9903722700183,8.655372836382,3.885858006332949,0.5704373341912126,0.03063881160317613,0.48143706681860876
GAL_07,galaxy,112991871986.75261,42419.853496786585,11.45611552535507,-6.377392514545264,267.36285772140405,183.96052952568624,4.71356275256183,0.4114451134967704,0.058844633732999294,0.44395294661155016
GAL_08,galaxy,66828091477.52297,32623.089799287754,8.810353047612114,10.384849750313357,361.64880277621836,-82.18016720870888,4.257922433025641,0.4832862440375954,0.018386810372401873,0.4251308121620982
GAL_09,galaxy,150201585493.23,48908.32853513094,13.20842519866138,188.4467038137643,-190.01497539934448,-322.81300573984566,4.997846756815557,0.3783832426383478,0.008220425173162444,0.34972853695351225
GAL_10,galaxy,109651636390.22775,41788.14769466773,11.285513930805504,-307.9711907368604,340.5235148355271,-99.31016568226006,4.685212368941384,0.4151527699728759,0.01874466368800658,0.38882925127733786
GAL_11,galaxy,459949498992.4943,85585.58773766317,23.113667295016832,105.688469583804,148.5333775933976,489.70580779297836,6.435288766485711,0.2784192003954786,0.019287120608566626,0.3031840692551078
GAL_12,galaxy,48617884504.62814,27825.539351090967,7.514702835679513,434.17842477904856,-364.23395177047246,113.01949814512396,4.020002784604198,0.534951663759395,0.01747273317196181,0.4494193606904293
GAL_13,galaxy,31353868862.361916,22345.554247421383,6.03475094405831,-33.70302375734023,625.2296926780821,111.57555876155655,3.7325079897939624,0.6185024078696921,0.013632824687734378,0.48228024793307445
GAL_14,galaxy,77556452287.61581,35144.270234605545,9.491235510571435,684.1845511519653,-102.34733591680234,85.73305083256479,4.378699740007523,0.4613413854424413,0.01884605022758464,0.414342484792244
GAL_15,galaxy,86953961262.29562,37212.61999558084,10.049824281048176,147.18853306856536,572.5334207320138,479.7977714531612,4.475851702694929,0.4453661653702175,0.004912519584815811,0.3846699693722093
GAL_16,galaxy,63158278047.293274,31714.7069497982,8.565030680673908,-108.09985158066375,12.346755653703559,-821.8459577669862,4.21372640996821,0.49196863001040275,0.004263934320392954,0.4096043996575282
GAL_17,galaxy,234100192281.4271,61058.54451282864,16.48977264388686,-740.7374068470755,-492.92309419124024,-137.2999749084989,5.501579311167102,0.33363584992826845,0.012699261040750767,0.3286647164808006
GAL_18,galaxy,75168355537.7861,34598.963372413236,9.343967241233418,359.5978965387891,-607.6665141230103,-672.9232544694443,4.35280327064109,0.46584102429564095,0.005206885482605192,0.39671394941701527
GAL_19,galaxy,67728759572.71498,32842.191055760704,8.86952461703054,-71.63673137735555,929.5356530399034,492.91411984363685,4.268526937183523,0.48125769096885357,0.0010355483916369226,0.39899754734684834
GAL_20,galaxy,118111458262.40204,43370.21530407251,11.712774937344259,1046.531608635965,126.4690258604646,-428.95879568074633,4.755976810694806,0.4060503882415733,0.0031713117029810666,0.35844083521194775
GAL_21,galaxy,61648449522.5636,31333.336413424866,8.462035866630279,1118.3133407870514,447.62473264942906,229.10761142637563,4.195058522270657,0.49575050122556363,0.0004304362754909269,0.40603950841616787
GAL_22,galaxy,57718591080.18876,30318.200662738942,8.18788328299024,116.2428989680162,1220.2874157757165,487.25799253520006,4.145032370371228,0.5062397969182396,0.0001934583090167234,0.41134043351136573
GAL_23,galaxy,19070826713.739536,17427.30862649226,4.706505196587637,-1304.7875047469122,105.00374544227277,-543.0482772613612,3.4558032345024596,0.7342610047489218,0.0004269984352933615,0.5141921444650738
GAL_24,galaxy,361230602607.6641,75846.89914009812,20.483588866112907,734.8785279018254,-513.5620236114763,-1228.299525262509,6.0756598905142125,0.2966111031727209,0.00021195803268300864,0.27905368254853175
ICM_01,gas,3705717578125.0005,60732.57984729158,262.42785621544084,46.755385305170876,0.0,125.96272648670173,60.73418224247436,0.23143191854074543,0.13737986797466015,0.5104635491344827
ICM_02,gas,3705717578125.0005,60732.57984729158,262.42785621544084,-96.86031008400309,-88.73197839786796,183.08163302465417,60.73418224247436,0.23143191854074543,0.12267428416021829,0.4894685523771591
ICM_03,gas,3705717578125.0005,60732.57984729158,262.42785621544084,18.95151844261038,215.94277787303832,205.2251455133804,60.73418224247436,0.23143191854074543,0.10677432764901508,0.46526082824831816
ICM_04,gas,3705717578125.0005,60732.57984729158,262.42785621544084,184.06283591817888,-240.07737545650008,205.81292720135403,60.73418224247436,0.23143191854074543,0.09046192401411142,0.43868673281591175
ICM_05,gas,3705717578125.0005,60732.57984729158,262.42785621544084,-381.13634078325333,67.41765212730549,188.31431806167944,60.73418224247436,0.23143191854074543,0.07616954623166791,0.4138589801822741
ICM_06,gas,3705717578125.0005,60732.57984729158,262.42785621544084,395.4075734984761,251.5259320117488,154.16737813840686,60.73418224247436,0.23143191854074543,0.06478922611410338,0.3929959439901371
ICM_07,gas,3705717578125.0005,60732.57984729158,262.42785621544084,-141.57501055118237,-526.6519825087845,104.09922370050893,60.73418224247436,0.23143191854074543,0.055125083582372454,0.3744790658378325
ICM_08,gas,3705717578125.0005,60732.57984729158,262.42785621544084,-283.52501519527294,545.9101638627873,38.521923538914066,60.73418224247436,0.23143191854074543,0.046821335631054166,0.3579572474041493
ICM_09,gas,3705717578125.0005,60732.57984729158,262.42785621544084,634.6838927459277,-231.78553968426826,-42.31294151994171,60.73418224247436,0.23143191854074543,0.03974432772852185,0.343414218166905
ICM_10,gas,3705717578125.0005,60732.57984729158,262.42785621544084,-669.4321472657684,-276.33185893772463,-138.24358401130075,60.73418224247436,0.23143191854074543,0.034253230880820426,0.3318285714643536
ICM_11,gas,3705717578125.0005,60732.57984729158,262.42785621544084,321.01537929483055,685.9912195511002,-249.16197791524576,60.73418224247436,0.23143191854074543,0.02853435149334827,0.31947488330563
ICM_12,gas,3705717578125.0005,60732.57984729158,262.42785621544084,230.67192331433995,-735.4184402731279,-374.99398453446105,60.73418224247436,0.23143191854074543,0.024209528261435832,0.30993353761998016
ICM_13,gas,3705717578125.0005,60732.57984729158,262.42785621544084,-655.8211729327554,380.0617748988958,-515.6877097740548,60.73418224247436,0.23143191854074543,0.0212864026813203,0.30338573223548315
ICM_14,gas,3705717578125.0005,60732.57984729158,262.42785621544084,692.4376310661883,152.23047074966018,-671.2063362505373,60.73418224247436,0.23143191854074543,0.017644309791782737,0.29511415338408153
ICM_15,gas,3705717578125.0005,60732.57984729158,262.42785621544084,-347.25470824059397,-493.9340888076818,-841.5235573251034,60.73418224247436,0.23143191854074543,0.015000107341363013,0.28902911511072144
ICM_16,gas,3705717578125.0005,60732.57984729158,262.42785621544084,-48.9709794190506,377.9056683242329,-1026.6205359488715,60.73418224247436,0.23143191854074543,0.01344308270866195,0.2854142322170628
