name,kind,mass_msun,q1_kms2,rt_kpc,x_kpc,y_kpc,z_kpc,scale_kpc,diffuseness,overlap,eta_eff
BCG,galaxy,1707594660000.0002,164906.56914805758,44.535484008524755,0.0,0.0,0.0,11.0,0.24699405979049058,0.06209574419631123,0.3588164732468749
GAL_01,galaxy,210836301633.00217,57945.30552564798,15.648995918953503,44.04152063614807,36.869810590008875,2.4228989935773306,5.3756253082646035,0.3435124742894104,0.05517986367572848,0.40392591803127675
GAL_02,galaxy,124559117776.98793,44538.26799139266,12.028225025512404,-72.68227762228608,86.26253105328989,6.790344307655226,4.8077263721685615,0.39970372702299456,0.04417002640151414,0.4180200789950914
GAL_03,galaxy,179049018259.64905,53398.804537743985,14.421145366440049,-109.32214016938995,48.420765750609846,-106.410545773236,5.187964880184234,0.3597470761412147,0.025604509563983753,0.36726632540841875
GAL_04,galaxy,106089858118.42412,41103.84948875434,11.10070897146422,-197.72999220194913,-44.25832474316438,30.81682783775992,4.654356197619007,0.4192845889018098,0.040931648228844604,0.42363381072654166
GAL_05,galaxy,238250716275.18204,61597.44094393592,16.635309680487758,224.97357612874598,12.456562586500473,107.2002319401903,5.523183985370853,0.33201569982488655,0.04593718760324592,0.3834091675798674
GAL_06,galaxy,240094799282.6519,61835.36644024396,16.69956501725687,-54.975720691483076,256.79554261215,-133.5755033760976,5.5327044994539785,0.3313083001704915,0.019072561426815442,0.33844813967556686
GAL_07,galaxy,76327488014.57181,34864.70920210726,9.415735874889513,165.190043875377,296.924509566725,-26.51959030674899,4.365438642910992,0.46363223235191026,0.02428382461297733,0.42324071768139243
GAL_08,galaxy,70188627484.94106,33433.276293696974,9.029156021029682,-312.9044330769823,219.15760764099537,-70.27870136477992,4.297030228532424,0.4759060778797343,0.019237808042944678,0.4225182431749899
GAL_09,galaxy,151183568821.94888,49067.94376497693,13.251531677396867,73.0549564212423,-18.54166374907025,431.22354946598233,5.004691964386762,0.37766894320022365,0.026689896639184276,0.37963592919444034
GAL_10,galaxy,283820615472.37695,67230.68420852479,18.15665122935584,65.59002073914723,292.4832752320195,-386.4138794115368,5.74574946442386,0.316454250943262,0.0072338208680757295,0.30694057009590076
GAL_11,galaxy,37122822544.39587,24314.53996302368,6.566504968796339,95.07626561589451,27.544727118798043,-533.3844016194548,3.8380092565370294,0.584482807029772,0.00352894543224213,0.45495147798403285
