galaxy,ra_deg,dec_deg,sparc_metric,coord_source,catalog_name
CamB,73.27958,67.09917,42.98816338841357,VizieR:J/AJ/152/157/table1,CamB
D512-2,218.33465,26.99804,913.2354086038904,VizieR:J/AJ/152/157/table1,D512-2
D564-8,135.72232,20.07561,386.7935713174732,VizieR:J/AJ/152/157/table1,D564-8
D631-7,119.25428,14.39657,2874.305043402973,VizieR:J/AJ/152/157/table1,D631-7
DDO064,147.59487,31.48828,1565.3124615170698,VizieR:J/AJ/152/157/table1,DDO064
DDO154,193.52187,27.14963,1897.3138,VizieR:J/AJ/152/157/table1,DDO154
DDO161,195.81973,-17.42303,3217.9069103013444,VizieR:J/AJ/152/157/table1,DDO161
DDO168,198.61666,45.91976,2178.192906719069,VizieR:J/AJ/152/157/table1,DDO168
DDO170,198.97408,25.43615,2632.509041743061,VizieR:J/AJ/152/157/table1,DDO170
ESO079-G014,15.71436,-65.60999,20213.97366,VizieR:J/AJ/152/157/table1,ESO079-G014
ESO116-G012,48.26977,-57.35725,9630.030581297078,VizieR:J/AJ/152/157/table1,ESO116-G012
ESO444-G084,204.335,-28.04417,2888.30604,VizieR:J/AJ/152/157/table1,ESO444-G084
ESO563-G021,131.82075,-20.03566,72282.96302499999,VizieR:J/AJ/152/157/table1,ESO563-G021
F561-1,122.38583,22.55944,810.74873,VizieR:J/AJ/152/157/table1,F561-1
F563-1,133.75583,19.75167,11095.803453861088,VizieR:J/AJ/152/157/table1,F563-1
F563-V1,131.6575,18.89028,237.69647601601773,VizieR:J/AJ/152/157/table1,F563-V1
F563-V2,133.25833,18.43833,11566.717710873529,VizieR:J/AJ/152/157/table1,F563-V2
F565-V2,144.4025,21.77083,4754.259722715538,VizieR:J/AJ/152/157/table1,F565-V2
F567-2,154.48458,21.06139,1526.9550663196585,VizieR:J/AJ/152/157/table1,F567-2
F568-1,156.42542,22.42444,14444.159070161975,VizieR:J/AJ/152/157/table1,F568-1
F568-3,156.74583,22.22667,8025.070132925791,VizieR:J/AJ/152/157/table1,F568-3
F568-V1,161.2586,22.05432,11042.800545314753,VizieR:J/AJ/152/157/table1,F568-V1
F571-8,173.47625,19.355,13894.4861,VizieR:J/AJ/152/157/table1,F571-8
F571-V1,171.575,18.83167,5223.531169756055,VizieR:J/AJ/152/157/table1,F571-V1
F574-1,189.55542,22.29972,7789.550340937908,VizieR:J/AJ/152/157/table1,F574-1
F574-2,191.69708,21.80333,94.10470288146826,VizieR:J/AJ/152/157/table1,F574-2
F579-V1,218.20042,22.76611,9586.837122147926,VizieR:J/AJ/152/157/table1,F579-V1
F583-1,239.36451,20.66642,5120.07891016573,VizieR:J/AJ/152/157/table1,F583-1
F583-4,238.05,18.785,3217.708388999229,VizieR:J/AJ/152/157/table1,F583-4
IC2574,157.09784,68.41214,2700.8669400000003,VizieR:J/AJ/152/157/table1,IC2574
IC4202,197.13159,24.70083,33084.718827796525,VizieR:J/AJ/152/157/table1,IC4202
KK98-251,307.63708,60.35472,712.07689,VizieR:J/AJ/152/157/table1,KK98-251
NGC0024,2.48559,-24.96313,8663.767955801195,VizieR:J/AJ/152/157/table1,NGC0024
NGC0055,3.72334,-39.19663,5025.480980703516,VizieR:J/AJ/152/157/table1,NGC0055
NGC0100,6.01182,16.48639,6203.306406128609,VizieR:J/AJ/152/157/table1,NGC0100
NGC0247,11.78564,-20.7604,8120.308475803904,VizieR:J/AJ/152/157/table1,NGC0247
NGC0289,13.17652,-31.20583,22564.571970569374,VizieR:J/AJ/152/157/table1,NGC0289
NGC0300,13.72283,-37.68438,7109.225394190399,VizieR:J/AJ/152/157/table1,NGC0300
NGC0801,30.93687,38.25867,24974.846341666664,VizieR:J/AJ/152/157/table1,NGC0801
NGC0891,35.63711,42.34832,20015.84796875,VizieR:J/AJ/152/157/table1,NGC0891
NGC1003,39.82039,40.87229,10640.499566666667,VizieR:J/AJ/152/157/table1,NGC1003
NGC1090,41.64132,-0.24704,17271.13943995257,VizieR:J/AJ/152/157/table1,NGC1090
NGC1705,73.55625,-53.36106,4686.109569806081,VizieR:J/AJ/152/157/table1,NGC1705
NGC2366,112.21604,69.20864,1809.504190217196,VizieR:J/AJ/152/157/table1,NGC2366
NGC2403,114.21415,65.60255,14758.252647058822,VizieR:J/AJ/152/157/table1,NGC2403
NGC2683,133.17227,33.4218,17892.270535196807,VizieR:J/AJ/152/157/table1,NGC2683
NGC2841,140.51106,50.97648,65847.14310766662,VizieR:J/AJ/152/157/table1,NGC2841
NGC2903,143.04213,21.50083,23396.266977272728,VizieR:J/AJ/152/157/table1,NGC2903
NGC2915,141.54805,-76.62632,6226.889989064411,VizieR:J/AJ/152/157/table1,NGC2915
NGC2955,145.31917,35.88212,29824.401953798104,VizieR:J/AJ/152/157/table1,NGC2955
NGC2976,146.81441,67.91638,2802.0580953300155,VizieR:J/AJ/152/157/table1,NGC2976
NGC2998,147.18179,44.08129,28670.85162086496,VizieR:J/AJ/152/157/table1,NGC2998
NGC3109,150.77865,-26.15957,3430.63994090909,VizieR:J/AJ/152/157/table1,NGC3109
NGC3198,154.97912,45.54969,17435.80527222222,VizieR:J/AJ/152/157/table1,NGC3198
NGC3521,166.45247,-0.0359,14920.530683660416,VizieR:J/AJ/152/157/table1,NGC3521
NGC3726,173.33822,47.02909,19640.68161569816,VizieR:J/AJ/152/157/table1,NGC3726
NGC3741,174.02397,45.28415,2207.8972744736066,VizieR:J/AJ/152/157/table1,NGC3741
NGC3769,174.43377,47.89309,11187.696072069028,VizieR:J/AJ/152/157/table1,NGC3769
NGC3877,176.53242,47.4945,8511.870875011962,VizieR:J/AJ/152/157/table1,NGC3877
NGC3893,177.1592,48.71079,20779.43722419302,VizieR:J/AJ/152/157/table1,NGC3893
NGC3917,177.68953,51.82421,12839.298689427736,VizieR:J/AJ/152/157/table1,NGC3917
NGC3949,178.42395,47.85878,8598.26501,VizieR:J/AJ/152/157/table1,NGC3949
NGC3953,178.45428,52.32654,20134.54998401351,VizieR:J/AJ/152/157/table1,NGC3953
NGC3972,178.93799,55.32067,10572.12107,VizieR:J/AJ/152/157/table1,NGC3972
NGC3992,179.39993,53.37452,42706.92574788313,VizieR:J/AJ/152/157/table1,NGC3992
NGC4010,179.6583,47.26131,10101.16929,VizieR:J/AJ/152/157/table1,NGC4010
