galaxy,delta_external,in_twompp_grid,ra_deg,dec_deg,l_deg,b_deg,distance_input,distance_units,distance_mpch,x_mpch,y_mpch,z_mpch,vx_kms,vy_kms,vz_kms,in_twompp_velocity_grid
CamB,0.12377071061464345,True,73.27958,67.09917,12.479237435631937,14.423255491794007,3.36,mpc,2.352,2.224053896119105,0.49221539346418397,0.5858432158814568,-16.474164367450076,-633.7724296560021,419.9347243895489,True
D512-2,3.592020229118757,True,218.33465,26.99804,117.38333820400672,67.35312773505302,15.2,mpc,10.639999999999999,-1.8843516006617478,3.637871636918513,9.819608393331544,139.4649780792948,-852.7486342141026,281.95796930227937,True
D564-8,1.509036742599138,True,135.72232,20.07561,308.2256738444315,37.59761209989634,8.79,mpc,6.152999999999999,3.016528224468963,-3.8297911399608546,3.7540200179620054,17.30696551201628,-569.5168078391653,596.6456379042221,True
D631-7,0.6181199386485224,True,119.25428,14.39657,308.86806994331295,20.89686565063786,7.72,mpc,5.404,3.1681105925864976,-3.930762820387954,1.9275359719073903,29.101614061996678,-562.7218472498346,533.8092989513996,True
DDO064,1.4892751674266456,True,147.59487,31.48828,320.44814133934307,50.56404262052318,6.8,mpc,4.76,2.33136167286615,-1.9253729229539223,3.676314983491841,4.944976654829976,-631.5810400553266,582.7062379088298,True
DDO154,1.1243400523997482,True,193.52187,27.149630000000002,120.70364215192718,89.41015024067167,4.04,mpc,2.828,-0.014865148643121695,0.025032138774337697,2.8278501408993013,84.39614973187605,-629.6574888995062,522.8275323416384,True
DDO161,1.4562028803835756,True,195.81973000000002,-17.42303,208.9109860458262,45.35625398665443,7.5,mpc,5.25,-3.2293837895319695,-1.7835236206903164,3.7353211152922103,339.31654747644563,-482.74918210799063,512.0260871822754,True
DDO168,0.8949905998367091,True,198.61666000000002,45.91976,45.096771906001145,70.66070689459056,4.25,mpc,2.9749999999999996,0.6954679870730469,0.6978212386273166,2.807132842933729,32.79678163009652,-661.7610212150067,503.8601769614454,True
DDO170,6.236742330623101,True,198.97408,25.43615,138.71322131424597,84.26313698001438,15.4,mpc,10.78,-0.8097023072893946,0.7110098763279284,10.726007977310774,192.00153382568573,-816.101308207767,251.14932483499769,True
ESO079-G014,2.003980772883616,True,15.71436,-65.60999,214.82428315858715,-51.47628074347649,28.7,mpc,20.09,-10.271870304632017,-7.145594104665565,-15.717419169068046,192.73860105095534,-115.52546245563985,286.37076093336907,True
ESO116-G012,1.6333419191745693,True,48.26977,-57.35725,242.58663079801414,-50.8250370587122,13.0,mpc,9.1,-2.646596086189075,-5.102886817328318,-7.054507444613375,105.41624273218623,-376.0765186996178,183.98367023305758,True
ESO444-G084,0.718274116223386,True,204.335,-28.04417,200.74203860884563,33.73872883294128,4.83,mpc,3.381,-2.6293348224882176,-0.995748079484417,1.8778299053572303,234.15610286103765,-511.5022593941983,456.7988005057704,True
ESO563-G021,0.7835838360004715,True,131.82075,-20.03566,270.99674160696264,14.397346996334129,60.8,mpc,42.559999999999995,0.7171033408762849,-41.21715170867204,10.58233281572723,424.5418725419282,178.46701764117012,391.8471826826643,True
F561-1,5.582815688190649,True,122.38583,22.55944,315.9162587306477,26.720749974103086,66.4,mpc,46.480000000000004,29.822170053139676,-28.88328808371925,20.899383789827418,-163.5067998060141,-51.03923979432649,83.66637302827894,True
F563-1,3.0771310845985687,True,133.75583,19.75167,308.617148619882,35.746995972586326,48.9,mpc,34.23,17.33863751772047,-21.706408316513443,19.99740950788106,227.43995623810864,-621.1724042047273,-352.69565284175576,True
F563-V1,3.257916942301061,True,131.6575,18.89028,308.46456593446624,33.5912823357036,54.0,mpc,37.8,19.586251503198422,-24.654574388503065,20.91340990310346,269.7540624346087,-421.6223722228576,-410.49381359148083,True
F563-V2,2.0508169921279293,True,133.25833,18.43833,307.3067041518159,34.851405052856215,59.7,mpc,41.79,20.785208755999847,-27.277864690516168,23.880898117436843,370.28360438261575,-187.29805320147798,-352.9452228784265,True
