obsid,status,name,ra,dec,time,detector,grating,exposure,type,pi,public_date,__row
554,archived,1E 0657-56,104.65792,-55.95000,51833.4399074074,ACIS-I,NONE,26120,GTO,Murray,52206,2487
4984,archived,1E0657-56,104.58270,-55.94150,53236.7266319444,ACIS-I,NONE,77120,GO,Markevitch,53607,2488
4985,archived,1E0657-56,104.58270,-55.94150,53240.9932638889,ACIS-I,NONE,27850,GO,Markevitch,53607,2489
4986,archived,1E0657-56,104.58270,-55.94150,53242.0363888889,ACIS-I,NONE,42040,GO,Markevitch,53607,2490
5355,archived,1E0657-56,104.58270,-55.94150,53227.6775,ACIS-I,NONE,27770,GO,Markevitch,53607,2491
5356,archived,1E0657-56,104.58270,-55.94150,53228.8030671296,ACIS-I,NONE,98490,GO,Markevitch,53607,2492
5357,archived,1E0657-56,104.58270,-55.94150,53231.4778009259,ACIS-I,NONE,80100,GO,Markevitch,53607,2493
5358,archived,1E0657-56,104.58270,-55.94150,53232.9211342593,ACIS-I,NONE,32380,GO,Markevitch,53607,2494
5361,archived,1E0657-56,104.58270,-55.94150,53234.4371180556,ACIS-I,NONE,83710,GO,Markevitch,53607,2495
3184,archived,1E 0657-56,104.58208,-55.93889,52467.2122222222,ACIS-I,NONE,88630,GTO,Murray,52838,2496
