obsid,status,name,ra,dec,time,detector,grating,exposure,type,pi,public_date,__row
25277,archived,Abell 2744,3.58854,-30.40122,60219.6662384259,ACIS-I,NONE,18930,GO,Bogdan,60443,5773
25278,archived,Abell 2744,3.58854,-30.40122,59915.0782175926,ACIS-I,NONE,9900,GO,Bogdan,60443,5774
25279,archived,Abell 2744,3.58854,-30.40122,59828.2342476852,ACIS-I,NONE,24780,GO,Bogdan,60443,5775
25907,archived,Abell 2744,3.58854,-30.40122,59891.6479976852,ACIS-I,NONE,37280,GO,Bogdan,60443,5776
25908,archived,Abell 2744,3.58854,-30.40122,59845.5642013889,ACIS-I,NONE,22910,GO,Bogdan,60443,5777
25909,archived,Abell 2744,3.58854,-30.40122,60088.9979976852,ACIS-I,NONE,19590,GO,Bogdan,60443,5778
25910,archived,Abell 2744,3.58854,-30.40122,59847.1303703704,ACIS-I,NONE,19560,GO,Bogdan,60443,5779
25911,archived,Abell 2744,3.58854,-30.40122,59688.1207060185,ACIS-I,NONE,17080,GO,Bogdan,60443,5780
25912,archived,Abell 2744,3.58854,-30.40122,59687.7039351852,ACIS-I,NONE,15580,GO,Bogdan,60443,5781
25913,archived,Abell 2744,3.58854,-30.40122,59825.3728703704,ACIS-I,NONE,19900,GO,Bogdan,60443,5782
25914,archived,Abell 2744,3.58854,-30.40122,59867.4571527778,ACIS-I,NONE,28580,GO,Bogdan,60443,5783
25915,archived,Abell 2744,3.58854,-30.40122,59825.9727314815,ACIS-I,NONE,21360,GO,Bogdan,60443,5784
25916,archived,Abell 2744,3.58854,-30.40122,60190.3598611111,ACIS-I,NONE,22500,GO,Bogdan,60443,5785
25917,archived,Abell 2744,3.58854,-30.40122,60117.4161111111,ACIS-I,NONE,36090,GO,Bogdan,60443,5786
25918,archived,Abell 2744,3.58854,-30.40122,59835.6363078704,ACIS-I,NONE,20900,GO,Bogdan,60443,5787
25919,archived,Abell 2744,3.58854,-30.40122,59743.1295949074,ACIS-I,NONE,25620,GO,Bogdan,60443,5788
25920,archived,Abell 2744,3.58854,-30.40122,59743.6683564815,ACIS-I,NONE,30910,GO,Bogdan,60443,5789
25921,archived,Abell 2744,3.58854,-30.40122,60160.7651851852,ACIS-I,NONE,17090,GO,Bogdan,60443,5790
25922,archived,Abell 2744,3.58854,-30.40122,59744.8421990741,ACIS-I,NONE,31780,GO,Bogdan,60443,5791
