row_type,center,ra_deg,dec_deg,kappa,gradmag_1/kpc,r_mid_arcsec,kappa_median,kappa_p16,kappa_p84,gradmag_median_per_arcsec,gradmag_p16_per_arcsec,gradmag_p84_per_arcsec,n_pix,unit
center_sample,main,104.63088146599212,-55.934259101595984,0.0007741315115949457,9.82210237858469e-05,,,,,,,,,
annulus,main,,,,,6.0,0.0007345371159232871,0.0005855284613924863,0.0008686651414737059,9.201764004710044e-05,8.137521734000355e-05,0.00010547225719385124,30,1/kpc
annulus,main,,,,,18.0,0.0006328709543070205,0.0004067831574823102,0.0009630930307637029,7.457689121832418e-05,5.916034642944204e-05,9.447469965125757e-05,86,1/kpc
annulus,main,,,,,30.0,0.0005027972455246854,0.00028372470356418533,0.0009409009593422336,5.012671908799244e-05,3.584678516373688e-05,7.249815658883047e-05,149,1/kpc
annulus,main,,,,,42.0,0.00045953334464574264,0.0002152917105450626,0.0008577503266125634,3.5387629617577325e-05,2.3300838530657206e-05,5.7355757121541496e-05,209,1/kpc
annulus,main,,,,,54.0,0.0003994068047964334,0.0001782822214761707,0.0007334397711390769,2.8876801949115742e-05,1.347352954539032e-05,4.446527259220965e-05,259,1/kpc
annulus,main,,,,,66.0,0.00034641606479269513,0.0001516939138556106,0.0006768426495503559,2.905954407923848e-05,1.1551257537886408e-05,4.526056533066169e-05,319,1/kpc
annulus,main,,,,,78.0,0.0002672728719147632,0.00012154095929981495,0.0006222102825206368,2.7970101340474327e-05,1.0518574328752013e-05,5.18453577689458e-05,384,1/kpc
annulus,main,,,,,90.0,0.00020585163527670863,9.677508952522447e-05,0.0005238952869535171,2.1399668006301187e-05,8.71647105923024e-06,4.664444590256978e-05,440,1/kpc
annulus,main,,,,,102.0,0.00016098688524943694,7.617344370009681e-05,0.00041971223912535736,1.5681073010036786e-05,6.69966975177459e-06,4.3306241860651165e-05,494,1/kpc
annulus,main,,,,,114.0,0.00010690992287844763,6.180130523195485e-05,0.00031057906948202285,1.2074564218012253e-05,4.2332655116706906e-06,3.5441407101210146e-05,553,1/kpc
annulus,main,,,,,126.0,8.038586521488182e-05,5.005682517907682e-05,0.0002344998460503528,1.0091050577601673e-05,3.98984819874247e-06,2.90669910163555e-05,618,1/kpc
annulus,main,,,,,138.0,5.672982018669461e-05,4.0065008661210634e-05,0.00017270141204739654,8.467258273540418e-06,3.0620207405441716e-06,2.0902735178583854e-05,664,1/kpc
annulus,main,,,,,150.0,4.2009996833339354e-05,3.300818443780948e-05,0.00013215082914529134,3.907090575200744e-06,1.9100159535261384e-06,1.3869238468024023e-05,730,1/kpc
annulus,main,,,,,162.0,3.569559178969345e-05,2.8441757223792832e-05,0.00010701708392679039,2.971889824536105e-06,1.4326765387829567e-06,9.760547383043407e-06,793,1/kpc
annulus,main,,,,,174.0,3.016323987465859e-05,2.4782408926382825e-05,8.690490943201276e-05,2.1685373727914067e-06,1.0897850118040226e-06,7.3526043461032965e-06,842,1/kpc
annulus,main,,,,,186.0,2.6222655382594915e-05,2.1881869392449904e-05,7.230287836318516e-05,1.6822487166999443e-06,7.787245376387326e-07,5.043336632115949e-06,897,1/kpc
annulus,main,,,,,198.0,2.407934499724305e-05,1.9866453369927252e-05,6.097170314465358e-05,1.1887438371921243e-06,5.493900498090275e-07,3.7592953862462373e-06,969,1/kpc
annulus,main,,,,,210.0,2.2142983850703962e-05,1.8621127482889364e-05,4.990826813530758e-05,1.0354092188453394e-06,4.238042374918735e-07,2.8086722504208363e-06,1012,1/kpc
annulus,main,,,,,222.0,2.0512014997774005e-05,1.7906113092585594e-05,4.231254695056107e-05,8.208475719887324e-07,3.934187866449823e-07,2.2494803254423756e-06,1088,1/kpc
annulus,main,,,,,234.0,1.9062506227913407e-05,1.6590802377779865e-05,4.0512239687518295e-05,7.713543519525289e-07,3.7178925314768285e-07,2.0554228411020116e-06,1141,1/kpc
annulus,main,,,,,246.0,1.775168819162338e-05,1.5362119504447597e-05,3.620627171137579e-05,6.507143348808573e-07,3.116363621084515e-07,1.863055169430663e-06,1201,1/kpc
annulus,main,,,,,258.0,1.7077368245494142e-05,1.4671813008947773e-05,3.2330031306613054e-05,6.298520367464201e-07,3.0114125826537147e-07,1.6503511321131529e-06,1249,1/kpc
annulus,main,,,,,270.0,1.6551454747551824e-05,1.382728349486136e-05,2.865667019038084e-05,6.924791386259777e-07,2.4026955661007045e-07,1.779411101009808e-06,1324,1/kpc
