row_type,center,ra_deg,dec_deg,kappa,gradmag_1/kpc,r_mid_arcsec,kappa_median,kappa_p16,kappa_p84,gradmag_median_per_arcsec,gradmag_p16_per_arcsec,gradmag_p84_per_arcsec,n_pix,unit
center_sample,main,104.63088146599212,-55.934259101595984,1.0819202830567973,0.03257768612200009,,,,,,,,,
annulus,main,,,,,3.0,0.6947978360222575,0.6671677863964042,0.7680166030212862,0.10892346382340554,0.05014028447294035,0.39328507121243983,45240,1/kpc
annulus,main,,,,,9.0,0.6545221217813165,0.6300785025252493,0.677257508774402,0.0349563419673958,0.0121870890722172,0.128795915010809,135671,1/kpc
annulus,main,,,,,15.0,0.6499027313628799,0.5749050749992503,0.6963041053751069,0.046702377412067564,0.027921189609803394,0.20569007329714326,226149,1/kpc
annulus,main,,,,,21.0,0.5896966164188697,0.5198770397542476,0.7256644309804662,0.04794104122986883,0.03730039580545687,0.11953713194783211,316594,1/kpc
annulus,main,,,,,27.0,0.5389435123168747,0.4683995011716856,0.7761778503146612,0.036666578042522296,0.028155763626543723,0.08112573759067604,407058,1/kpc
annulus,main,,,,,33.0,0.5075822523499726,0.42915845571876393,0.7637132585403946,0.02916113249149596,0.022979941752231784,0.08490123920610172,497493,1/kpc
annulus,main,,,,,39.0,0.4836009070966153,0.3960599661714175,0.7405520953219,0.02470607629837246,0.018716786567090183,0.06578120782897344,587957,1/kpc
annulus,main,,,,,45.0,0.4711176452140283,0.36729299786715697,0.7500796303923524,0.02117748432512595,0.016513456716086665,0.05568768490769772,678434,1/kpc
annulus,main,,,,,51.0,0.4548275074587282,0.342236288607239,0.7670908139465172,0.018472765416434334,0.015290483778536331,0.08241032044405369,768835,1/kpc
annulus,main,,,,,57.0,0.44042182021412246,0.32002909708780847,0.7203495859694722,0.016331988943193786,0.013262011814745768,0.07441907767454399,859349,1/kpc
annulus,main,,,,,63.0,0.4348327869693287,0.30023113874828367,0.6769370956552013,0.016415596873183214,0.013338956264164323,0.0838813604297807,949784,1/kpc
annulus,main,,,,,69.0,0.4407199145268744,0.2823506425134684,0.6492481924888083,0.015898760868114092,0.012599917838995708,0.0912023986357678,1040210,1/kpc
annulus,main,,,,,75.0,0.43480394802884514,0.26604403877101357,0.6062938225430857,0.01539451559236744,0.011552033950808466,0.06270550869212799,1130693,1/kpc
annulus,main,,,,,81.0,0.42481506778194567,0.251129627112267,0.5990759147107213,0.01681627269726564,0.010862391961588126,0.04997740806741099,1221148,1/kpc
annulus,main,,,,,87.0,0.4109248090950462,0.2374051000921513,0.5817377438970546,0.015386153992559074,0.010076159810262171,0.05089722997732543,1311617,1/kpc
annulus,main,,,,,93.0,0.40766456217845287,0.22474813398886614,0.5903082736542747,0.01565955142819471,0.009235889644915353,0.06946426697398984,1402047,1/kpc
annulus,main,,,,,99.0,0.3886112875934542,0.21305186613694563,0.6100277587805812,0.017352630853623815,0.008613033855698199,0.0981595049760677,1492502,1/kpc
annulus,main,,,,,105.0,0.366264249512267,0.20221473980626117,0.5845547790890518,0.01655351456955978,0.00802408733010888,0.06649971601246864,1582973,1/kpc
annulus,main,,,,,111.0,0.3356043787237989,0.19217869564284082,0.5876602649340248,0.015338911872577575,0.007516732239103805,0.0752386244627383,1673435,1/kpc
annulus,main,,,,,117.0,0.3121659232021881,0.1827557653147182,0.590526963927002,0.013338900096160814,0.007095713331541418,0.0814593544076475,1763848,1/kpc
annulus,main,,,,,123.0,0.2955942932784994,0.17386256711741563,0.5470791946671262,0.011573280735866392,0.00656385008907811,0.06448353494868331,1854344,1/kpc
annulus,main,,,,,129.0,0.2820088976683876,0.16554544523446107,0.5066226035530608,0.010929260808611799,0.005908164988321305,0.051117995144872884,1944843,1/kpc
annulus,main,,,,,135.0,0.27261679071412714,0.15773888674216147,0.49381636881289476,0.009624214912769092,0.005469700028493671,0.042245567702177474,2035168,1/kpc
annulus,main,,,,,141.0,0.2634481169143892,0.1505114111383926,0.48070728144907554,0.008099814823774754,0.005057609593537355,0.040363209967174726,2125745,1/kpc
annulus,main,,,,,147.0,0.25792235846705747,0.14515705328177025,0.4511520801358649,0.007692241817670644,0.004683739185928248,0.028227721355406517,2183259,1/kpc
annulus,main,,,,,153.0,0.2532638688862491,0.14685743284602523,0.4568074531459387,0.007243916860994636,0.004356219018918324,0.025565378971121877,2114664,1/kpc
annulus,main,,,,,159.0,0.2479266797051272,0.14650563355886412,0.4558247647394175,0.006698407173074122,0.004112300510044492,0.02892985161624692,2107923,1/kpc
annulus,main,,,,,165.0,0.24576204958545925,0.14522413599053088,0.43534144995714724,0.006141602210919295,0.003920248912857679,0.0292528314981518,2096827,1/kpc
annulus,main,,,,,171.0,0.24526566438002237,0.1419797205546434,0.4211066376401057,0.0064618673838861464,0.003732222240644729,0.035350773843413105,1951488,1/kpc
annulus,main,,,,,177.0,0.2454696914651985,0.13958029023426616,0.390586014715424,0.007112846840093349,0.0035118795764060894,0.03143460503557721,1874152,1/kpc
annulus,main,,,,,183.0,0.24939924616403744,0.13836418875989873,0.37534823581538446,0.007203672721658045,0.0033601081988523743,0.02932350213050188,1824521,1/kpc
annulus,main,,,,,189.0,0.25228416778420454,0.1424625301606104,0.38997088515532025,0.007550878449030138,0.0032333973066287903,0.04496683426930377,1787620,1/kpc
annulus,main,,,,,195.0,0.24874208376194162,0.1493328506028547,0.3681063516944157,0.008591013955691078,0.0031445705523669306,0.03481985028166379,1758324,1/kpc
annulus,main,,,,,201.0,0.24173731693722383,0.1581063468277794,0.3431925765873793,0.009829294308522687,0.0029633203324696852,0.025242263992169153,1734529,1/kpc
annulus,main,,,,,207.0,0.23252062483372818,0.1679214884954882,0.3265383992491255,0.009851188136649819,0.0029514953585785216,0.020255342415993936,1714589,1/kpc
annulus,main,,,,,213.0,0.2240737037819009,0.166720975323123,0.326237538894244,0.0091292850114463,0.002986945685155365,0.01809414501914212,1697504,1/kpc
annulus,main,,,,,219.0,0.21494415281698534,0.1629670446846498,0.3165131413889889,0.00842312385255256,0.003233587781782407,0.016685877463791823,1682743,1/kpc
annulus,main,,,,,225.0,0.2054749109521567,0.15930197414428146,0.3023635555414169,0.00788381278882107,0.0036855124330440647,0.01489519228819547,1683066,1/kpc
annulus,main,,,,,231.0,0.19600096070370865,0.1548861753354225,0.28760295082976706,0.007399977527313982,0.004229290764124668,0.013229487671810591,1699624,1/kpc
annulus,main,,,,,237.0,0.192553413928732,0.1481519464851413,0.2779952703043933,0.007159708734601328,0.004571128717375622,0.01209487254884998,1543039,1/kpc
annulus,main,,,,,243.0,0.19266788862390155,0.14187083442560405,0.26754838455531577,0.007185802472230389,0.0046777332433943315,0.01108425499676182,1417117,1/kpc
annulus,main,,,,,249.0,0.1861120197541928,0.13619227251316318,0.25303543306713944,0.007004995129151084,0.004349857110825198,0.01056539743508517,1336676,1/kpc
annulus,main,,,,,255.0,0.18042669143956996,0.12922686532891228,0.24628412332152294,0.006739268362372756,0.0040897388984120495,0.011256976589528333,1111733,1/kpc
annulus,main,,,,,261.0,0.1712214295319927,0.12206504646864684,0.25077595979005285,0.007429297966358777,0.00396737425328252,0.011287742873917964,895848,1/kpc
annulus,main,,,,,267.0,0.16074182686259095,0.11596359973338816,0.2581765924240418,0.008104054538214132,0.003716341218259122,0.012146271038578144,742271,1/kpc
annulus,main,,,,,273.0,0.1437207383179717,0.11066361775964957,0.27194026466679444,0.007650752020402056,0.0035115370657866018,0.014182075989036756,610295,1/kpc
annulus,main,,,,,279.0,0.12864082866575965,0.1058165910166262,0.28733760498535255,0.006423011663299949,0.0033588289850356914,0.020816790517984286,503558,1/kpc
annulus,main,,,,,285.0,0.11648184233241463,0.10137748463739675,0.26464220475322847,0.005276557769236096,0.003252296041980244,0.018657840659367653,423422,1/kpc
annulus,main,,,,,291.0,0.10707070962550176,0.09718271496828954,0.23662969507027723,0.004425368184277282,0.0031209089293915224,0.014686149189763454,348745,1/kpc
annulus,main,,,,,297.0,0.09949047719130405,0.09317433156301619,0.11111132639207226,0.0038258401004069927,0.0029923826936046733,0.005115407479987214,278126,1/kpc
