galaxy,outer_rule,q_est_kms2,q_best_kms2,v_est_asym_kms,v_extra_asym_kms,vobs_outer_kms,delta_q_kms2,ratio_q,delta_v_kms
CamB,lastfrac,42.98816338841357,111.33125094166726,6.556535929011109,10.551362515887096,14.7,-68.3430875532537,0.38612845023126074,-3.9948265868759867
D512-2,lastfrac,913.2354086038904,1999.6314101092967,30.219785052245,44.7172383998531,35.9,-1086.3960015054063,0.4567018721485148,-14.4974533476081
D564-8,lastfrac,386.79357131747315,723.1871106457618,19.667068193237984,26.892138454309688,21.9,-336.3935393282886,0.53484577590451,-7.2250702610717035
D631-7,rfrac,2874.305043402973,2630.732736634914,53.61254557846487,51.290669099115036,57.7,243.57230676805875,1.0925872489349195,2.3218764793498323
DDO064,rfrac,1565.3124615170698,3482.7902307492527,39.56402989480558,59.015169496912,46.4,-1917.477769232183,0.449442073110537,-19.451139602106423
DDO154,rfrac,1897.3138,2262.6552757705276,43.55816570977249,47.56737617075938,47.4,-365.3414757705277,0.838534186058849,-4.009210460986893
DDO161,rfrac,3217.9069103013444,2932.895499355024,56.726597908753035,54.1562138572761,66.6,285.0114109463202,1.0971774858698502,2.5703840514769354
DDO168,lastfrac,2178.1929067190695,3192.291108524103,46.671114264811266,56.50036379107751,52.9,-1014.0982018050336,0.6823290334966089,-9.829249526266246
DDO170,lastfrac,2632.509041743061,2753.419890339742,51.30798224197733,52.473039652184646,59.0,-120.91084859668081,0.9560870287089552,-1.165057410207318
ESO079-G014,rfrac,20213.97366,18486.41627905103,142.17585470114116,135.96476116645457,175.0,1727.5573809489688,1.0934500962691538,6.211093534686597
ESO116-G012,rfrac,9630.030581297078,9946.898754245947,98.13271921890822,99.7341403645008,110.0,-316.86817294886896,0.9681440235014346,-1.6014211455925818
ESO444-G084,lastfrac,2888.30604,5614.171628489408,53.742962702106404,74.92777608129984,58.0,-2725.8655884894083,0.5144670008560371,-21.184813379193436
ESO563-G021,rfrac,72282.96302499999,48446.31408132123,268.85491073253615,220.10523410705443,320.0,23836.64894367876,1.4920219297523218,48.749676625481726
F561-1,lastfrac,810.74873,984.644045421609,28.47364974849554,31.379038312567978,49.2,-173.89531542160898,0.8233927110713906,-2.905388564072439
F563-1,rfrac,11095.803453861088,10690.873174052653,105.33661971917026,103.39667873801679,111.5,404.93027980843544,1.037876258862674,1.9399409811534696
F563-V1,lastfrac,237.69647601601773,291.77198193865667,15.417408213315808,17.081334313766494,28.6,-54.07550592263894,0.8146651862754664,-1.663926100450686
F563-V2,lastfrac,11566.717710873529,15154.424519776228,107.54867600706913,123.10330832181656,117.0,-3587.7068089027,0.76325680963861,-15.554632314747423
F565-V2,lastfrac,4754.259722715538,8654.423965188587,68.95114011178886,93.02915653271606,73.5,-3900.164242473049,0.5493444441639321,-24.0780164209272
F567-2,lastfrac,1526.9550663196583,2057.52728503295,39.076272420993,45.35997448227843,47.6,-530.5722187132919,0.7421311383946992,-6.283702061285432
F568-1,lastfrac,14444.159070161977,14374.62947962484,120.1838552808237,119.89424289608255,130.0,69.52959053713676,1.004836965755235,0.2896123847411616
F568-3,lastfrac,8025.070132925791,11024.258653521169,89.5827557788093,104.99646971932518,107.0,-2999.1885205953777,0.7279464665283927,-15.413713940515876
F568-V1,lastfrac,11042.800545314753,12122.350551993222,105.08473031470724,110.10154654678209,112.0,-1079.5500066784698,0.9109454884967862,-5.016816232074845
F571-8,lastfrac,13894.4861,12491.708041346654,117.87487476133326,111.76630995674257,135.0,1402.7780586533463,1.112296737484598,6.108564804590685
F571-V1,lastfrac,5223.531169756055,5662.629029281939,72.27400064861537,75.25044205373108,82.5,-439.0978595258848,0.922456891091528,-2.9764414051157075
F574-1,rfrac,7789.550340937908,7687.68013046643,88.25842929113291,87.67941680044656,98.8,101.87021047147846,1.0132510989977022,0.5790124906863525
F574-2,lastfrac,94.10470288146826,130.32848962155754,9.700757850883004,11.416150385377618,30.0,-36.22378674008928,0.7220578029771203,-1.7153925344946135
F579-V1,lastfrac,9586.837122147926,11145.905990184536,97.91239514049244,105.57417293156757,114.0,-1559.0688680366093,0.860121835819396,-7.661777791075139
F583-1,lastfrac,5120.07891016573,4900.525297280667,71.55472667941461,70.0037520228785,84.7,219.55361288506356,1.0448020568339675,1.5509746565361127
F583-4,rfrac,3217.708388999229,3595.541437614467,56.72484807383118,59.96283380240186,64.4,-377.8330486152381,0.8949162302337645,-3.2379857285706777
IC2574,rfrac,2700.8669400000003,5138.163997073572,51.96986569157169,71.6809876959963,66.0,-2437.297057073572,0.5256482552013272,-19.711122004424602
IC4202,rfrac,33084.718827796525,35412.494375989816,181.89205267904512,188.1820777225871,243.0,-2327.775548193291,0.9342668290045234,-6.290025043541988
KK98-251,rfrac,712.07689,1147.7893386166124,26.68476887664572,33.87903981249487,33.3,-435.7124486166124,0.6203898799567521,-7.194270935849147
NGC0024,lastfrac,8663.767955801195,11141.019401593476,93.07936374836903,105.55102747767772,107.0,-2477.2514457922807,0.7776458906948888,-12.471663729308688
NGC0055,rfrac,5025.480980703516,3844.268113054655,70.89062688891612,62.00216216435242,86.2,1181.2128676488614,1.3072659952196388,8.888464724563697
NGC0100,rfrac,6203.306406128609,5706.957369011756,78.76107164157055,75.54440660308184,89.0,496.34903711685274,1.086972620439042,3.2166650384887134
NGC0247,rfrac,8120.308475803904,7020.2375698227515,90.11275423492451,83.78685797798335,106.0,1100.0709059811525,1.1566999542451277,6.325896256941164
NGC0289,rfrac,22564.571970569374,20873.981352262872,150.21508569570958,144.4783075491365,165.0,1690.5906183065017,1.0809903290501517,5.736778146573073
NGC0300,rfrac,7109.225394190399,7232.664468006304,84.31622260389989,85.04507315539392,93.5,-123.43907381590452,0.9829331120831144,-0.728850551494034
NGC0801,lastfrac,24974.846341666664,24665.133966609916,158.03432013859097,157.05137365400506,216.0,309.712375056748,1.0125566873253564,0.9829464845859093
NGC0891,rfrac,20015.84796875,22964.56119692136,141.4773761728355,151.54062556595628,216.0,-2948.7132281713602,0.8715972318005072,-10.06324939312077
NGC1003,rfrac,10640.499566666667,8544.936065429816,103.15279718294927,92.4388233667533,113.0,2095.563501236851,1.2452403956203788,10.713973816195974
NGC1090,rfrac,17271.13943995257,16506.260676481652,131.4197071977889,128.47669312556908,162.0,764.8787634709188,1.0463387061710911,2.9430140722198246
NGC1705,rfrac,4686.109569806081,7393.062461676485,68.45516466860686,85.98291959265215,71.5,-2706.9528918704045,0.6338522897780897,-17.527754924045297
NGC2366,rfrac,1809.5041902171959,3039.292982291463,42.5382673626606,55.12978307858161,49.4,-1229.7887920742671,0.5953701077060781,-12.591515715921012
NGC2403,rfrac,14758.252647058822,11666.238627323808,121.48354887415341,108.01036351815416,134.0,3092.014019735014,1.26503949717719,13.473185355999249
NGC2683,lastfrac,17892.270535196807,21393.528546774443,133.76199211733058,146.26526773904473,155.0,-3501.2580115776364,0.8363403211432585,-12.503275621714153
NGC2841,rfrac,65847.14310766662,64618.978002358075,256.6069817983654,254.20263177700988,288.0,1228.1651053085443,1.0190062601309438,2.404350021355498
NGC2903,rfrac,23396.266977272728,23786.408616480378,152.9583831546108,154.22842998773078,180.0,-390.14163920764986,0.9835981275905039,-1.2700468331199772
