galaxy,n,n_outer,outer_rule,rmax_kpc,rmin_outer_kpc,slope_outer_pos,n_slope_pos,slope_outer_abs,n_slope_abs,dv2_outer_log_slope,n_dv2_log_slope,frac_rho_pos_outer
CamB,9,5,lastfrac,1.79,0.9,1.5412719837772981,5,1.5412719837772981,5,5.720308376072846,3,1.0
D512-2,4,0,,3.83,nan,nan,0,nan,0,nan,0,nan
D564-8,6,5,lastfrac,3.07,1.02,-1.4192772967565803,5,-1.4192772967565803,5,1.093326158838918,5,1.0
D631-7,16,7,rfrac,7.19,4.49,-4.134218833598249,7,-4.134218833598249,7,0.6273820134461743,7,1.0
DDO064,14,5,rfrac,2.98,1.88,-2.156595135302719,5,-2.156595135302719,5,-0.07892003268815133,5,1.0
DDO154,12,5,rfrac,5.92,3.95,-9.743425338707185,5,-9.743425338707185,5,0.05677507132767756,5,1.0
DDO161,31,12,rfrac,13.37,8.16,-2.284533190468894,12,-2.284533190468894,12,0.647608708969175,12,1.0
DDO168,10,5,lastfrac,4.12,2.47,-5.28920713284075,4,-5.646305472309678,5,0.09895122499639471,5,0.8
DDO170,8,5,lastfrac,12.33,6.35,-1.0270314953552258,5,-1.0270314953552258,5,0.4166881673121759,5,1.0
ESO079-G014,15,5,rfrac,16.67,10.04,-1.6458420030804437,5,-1.6458420030804437,5,0.46362696895482214,5,1.0
ESO116-G012,15,6,rfrac,9.86,6.05,-1.3752710543298774,6,-1.3752710543298774,6,0.20042466472035347,6,1.0
ESO444-G084,7,5,lastfrac,4.44,1.29,-1.8716484777027715,5,-1.8716484777027715,5,0.5678179179515871,5,1.0
ESO563-G021,30,10,rfrac,42.41,27.06,-3.273211381728784,10,-3.273211381728784,10,0.5048253093855141,10,1.0
F561-1,6,5,lastfrac,9.66,3.23,-5.3535124562087795,3,-3.0104644624821826,5,-0.49668635017556656,5,0.6
F563-1,17,5,rfrac,20.1,14.56,-0.6229804876289023,3,-5.830687084118926,5,-0.30318459834279193,5,0.6
F563-V1,6,5,lastfrac,7.87,2.63,nan,2,-2.140222332034839,5,-0.9702375771871107,5,0.4
F563-V2,10,5,lastfrac,10.47,4.76,-2.1454932830884927,5,-2.1454932830884927,5,-0.011029884156257863,5,1.0
F565-V2,7,5,lastfrac,8.8,3.78,-1.5885336592136532,5,-1.5885336592136532,5,0.8134669820197064,5,1.0
F567-2,5,5,lastfrac,9.59,1.92,-2.3144147019115504,5,-2.3144147019115504,5,0.881306817011713,5,1.0
F568-1,12,5,lastfrac,13.23,7.48,-1.5026172047831146,5,-1.5026172047831146,5,0.37340314608841524,5,1.0
F568-3,18,8,lastfrac,17.98,5.39,-0.9486048966716384,8,-0.9486048966716384,8,0.5198501468727773,8,1.0
F568-V1,15,6,lastfrac,17.63,7.44,-1.283561595295481,6,-1.283561595295481,6,0.07824844318385199,6,1.0
F571-8,13,6,lastfrac,15.55,5.44,-1.9292402016363837,6,-1.9292402016363837,6,0.7664822211217619,6,1.0
F571-V1,7,5,lastfrac,13.59,5.83,-2.0745048490415474,5,-2.0745048490415474,5,0.45533926543504866,5,1.0
F574-1,14,6,rfrac,12.6,7.99,-2.8363416122310277,6,-2.8363416122310277,6,0.09031151681020554,6,1.0
F574-2,5,5,lastfrac,10.83,2.17,-2.3598533584562653,5,-2.3598533584562653,5,0.5530401931113805,4,1.0
F579-V1,14,6,lastfrac,15.16,7.37,-2.079295147789374,6,-2.079295147789374,6,0.09315031380822292,6,1.0
F583-1,25,10,lastfrac,16.26,4.76,-3.147552566982723,10,-3.147552566982723,10,0.25039487983928066,10,1.0
F583-4,12,6,rfrac,7.29,5.0,-5.975099600793783,6,-5.975099600793783,6,0.8399921700118334,6,1.0
IC2574,34,15,rfrac,10.23,6.26,-1.6049418939313433,13,-1.8265507779499721,15,1.3431380264587842,15,0.8666666666666667
IC4202,32,12,rfrac,25.9,15.75,1.3670412549678335,12,1.3670412549678335,12,0.3369761965030055,12,1.0
KK98-251,15,5,rfrac,3.13,1.89,-3.6615730149580963,5,-3.6615730149580963,5,0.5450440186553686,5,1.0
NGC0024,29,12,lastfrac,11.27,2.02,-1.901865368895207,12,-1.901865368895207,12,0.151712734038743,12,1.0
NGC0055,21,9,rfrac,13.5,8.59,-3.295273446823465,9,-3.295273446823465,9,0.2365840571222162,9,1.0
NGC0100,21,8,rfrac,9.62,6.16,-1.353039710876963,8,-1.353039710876963,8,0.8207657460992995,8,1.0
NGC0247,26,11,rfrac,14.54,9.14,-2.3693723727357945,11,-2.3693723727357945,11,0.5985397943247169,11,1.0
NGC0289,28,10,rfrac,71.12,43.88,-0.14573297620455217,8,-0.8060435675579626,10,-0.4034810111424852,10,0.8
NGC0300,25,11,rfrac,11.8,7.26,-2.2452654435904753,11,-2.2452654435904753,11,0.5598743605414571,11,1.0
NGC0801,13,6,lastfrac,59.82,24.61,-1.4164113992509133,6,-1.4164113992509133,6,0.4440463834441918,6,1.0
NGC0891,18,8,rfrac,17.11,10.64,-2.339790021022782,8,-2.339790021022782,8,0.3365880067217609,8,1.0
NGC1003,36,15,rfrac,30.24,18.65,0.23134812429011342,15,0.23134812429011342,15,0.31784412424598874,15,1.0
NGC1090,24,10,rfrac,30.09,18.8,-3.8263098670463043,10,-3.8263098670463043,10,0.14175713948338045,10,1.0
NGC1705,14,6,rfrac,6.0,3.78,-2.382483699227088,6,-2.382483699227088,6,0.05890947564555833,6,1.0
NGC2366,26,11,rfrac,6.06,3.69,-2.012087066988553,9,-0.9935164717456761,11,-0.5173243213031649,11,0.8181818181818182
NGC2403,73,17,rfrac,20.87,12.92,-3.484034282977591,17,-3.484034282977591,17,0.2857377777224321,17,1.0
NGC2683,11,5,lastfrac,34.62,20.2,4.673707027843807,4,-0.5114857632077658,5,0.12321246763922962,5,0.8
NGC2841,50,13,rfrac,63.64,38.9,1.2566455444753937,13,1.2566455444753937,13,0.519614587676154,13,1.0
NGC2903,34,11,rfrac,24.96,15.36,-2.864033527364403,11,-2.864033527364403,11,0.12039942002416591,11,1.0
NGC2915,30,13,rfrac,10.04,6.03,0.5442012307729818,12,1.1878012749270643,13,0.3385245247739766,13,0.9230769230769231
NGC2955,24,5,rfrac,35.43,22.19,-1.384422294165803,4,-2.624188198875246,5,-0.493288535574191,5,0.8
NGC2976,27,8,rfrac,2.27,1.42,0.5783573087462966,7,-1.925458269308345,8,1.449127650346448,8,0.875
NGC2998,13,6,lastfrac,42.28,17.48,-3.1869133089920276,6,-3.1869133089920276,6,0.26698282350476427,6,1.0
NGC3109,25,11,rfrac,6.45,3.87,-1.7310203914859836,11,-1.7310203914859836,11,0.9428640797627225,11,1.0
NGC3198,43,9,rfrac,44.08,28.16,-1.8121955540039465,9,-1.8121955540039465,9,0.22838128017104486,9,1.0
NGC3521,41,17,lastfrac,17.74,4.64,-1.7472534846601564,14,-1.4582072765862497,17,0.832411779208503,17,0.8235294117647058
NGC3726,12,5,lastfrac,32.52,16.03,0.18388998931463202,5,0.18388998931463202,5,1.5385035566460363,5,1.0
NGC3741,21,7,rfrac,7.0,4.21,-1.813902782181462,7,-1.813902782181462,7,0.5693263466029478,7,1.0
NGC3769,12,5,lastfrac,37.16,14.52,-4.533538346841026,4,-4.338632362948916,5,0.16599232717696255,5,0.8
NGC3877,13,6,rfrac,11.35,6.98,0.9741086255474115,6,0.9741086255474115,6,0.22408896200586267,6,1.0
NGC3893,10,5,lastfrac,19.05,10.9,-4.771384507285217,4,-5.500137725805881,5,-0.11570027631605706,5,0.8
NGC3917,17,7,rfrac,14.86,9.6,-0.9079665769371719,7,-0.9079665769371719,7,0.3384748710489993,7,1.0
NGC3949,7,5,lastfrac,7.07,3.5,-0.30575992076059677,5,-0.30575992076059677,5,2.4079126282930368,5,1.0
NGC3953,8,5,lastfrac,15.68,8.72,-1.8354279214513796,5,-1.8354279214513796,5,0.14812716910095797,5,1.0
NGC3972,10,5,rfrac,8.72,5.24,-1.1818718447200776,5,-1.1818718447200776,5,0.9835092064588038,5,1.0
NGC3992,9,5,lastfrac,46.02,27.52,-0.9142976001902783,5,-0.9142976001902783,5,-0.027007156091320917,5,1.0
NGC4010,12,5,rfrac,10.47,6.98,-4.02586507971332,5,-4.02586507971332,5,-0.21144533189708714,5,1.0
NGC4013,36,17,rfrac,31.01,19.39,-2.471080029732493,14,-3.1606132912484175,17,0.7170775245462316,17,0.8235294117647058
NGC4051,7,5,lastfrac,12.19,5.24,-1.5970418720338004,5,-1.5970418720338004,5,-0.2705263936848055,5,1.0
NGC4068,6,5,lastfrac,2.33,0.64,-0.2017340709367953,5,-0.2017340709367953,5,3.185435135366353,5,1.0
NGC4085,7,5,lastfrac,6.2,2.71,-1.0277270802342733,5,-1.0277270802342733,5,1.382645239330028,5,1.0
NGC4088,12,5,rfrac,21.48,13.94,-0.38670654019059814,5,-0.38670654019059814,5,2.1586708033185813,5,1.0
NGC4100,24,11,rfrac,22.76,13.94,-0.19946883858318556,8,-0.6247536489463147,11,-0.4513474908277844,11,0.7272727272727273
NGC4138,7,5,lastfrac,18.58,7.85,-0.7723333031298105,5,-0.7723333031298105,5,-0.16836827099601248,5,1.0
NGC4157,17,7,rfrac,29.61,19.16,-2.168048858228784,7,-2.168048858228784,7,0.7754149425496498,7,1.0
NGC4183,23,9,rfrac,21.02,13.12,-0.5125596825898416,9,-0.5125596825898416,9,0.4397025128893004,9,1.0
NGC4214,14,6,rfrac,5.63,3.55,-2.118499014166116,6,-2.118499014166116,6,0.1428317749064337,6,1.0
NGC4217,19,8,rfrac,16.72,10.47,-1.4245072529912823,8,-1.4245072529912823,8,0.5547307646100021,8,1.0
NGC4389,6,5,lastfrac,5.32,1.74,nan,2,-0.5601653697496467,5,nan,1,0.4
NGC4559,32,13,rfrac,20.97,13.08,-4.45960362158542,13,-4.45960362158542,13,-0.10289180663692014,13,1.0
NGC5005,18,6,rfrac,11.47,7.37,-0.1610650821296025,6,-0.1610650821296025,6,1.0315474483423968,6,1.0
NGC5033,22,8,rfrac,44.59,28.5,0.6405194945865439,6,2.6759182047207424,8,-0.23290379003774841,8,0.75
NGC5055,28,8,rfrac,54.59,34.51,-3.9383115997484914,8,-3.9383115997484914,8,0.08660275950396476,8,1.0
NGC5371,19,7,rfrac,46.24,28.84,2.8216375284102657,7,2.8216375284102657,7,1.1439135426641045,7,1.0
NGC5585,24,7,rfrac,10.96,6.85,-3.249911569497272,7,-3.249911569497272,7,0.016551886147973125,7,1.0
NGC5907,19,9,rfrac,50.33,30.2,0.3833162671000745,9,0.3833162671000745,9,0.4209583110425825,9,1.0
NGC5985,33,10,rfrac,34.72,20.98,-3.086277618331681,10,-3.086277618331681,10,0.07337394773308029,10,1.0
NGC6015,44,15,rfrac,29.23,17.73,-1.8147009090072814,11,-1.5605424619454293,15,-0.1902974692064733,15,0.7333333333333333
NGC6195,23,5,rfrac,36.43,22.52,-1.9323822410428444,5,-1.9323822410428444,5,1.1150194898982937,5,1.0
NGC6503,31,13,rfrac,23.5,14.44,-1.3573798116107116,12,-1.8218894954927023,13,0.17952394189630852,13,0.9230769230769231
NGC6674,15,6,rfrac,72.41,47.44,-2.26456442061149,6,-2.26456442061149,6,0.441055019563537,6,1.0
NGC6789,4,0,,0.71,nan,nan,0,nan,0,nan,0,nan
NGC6946,58,24,rfrac,20.4,12.26,-1.2982213136150542,19,-1.195369349258177,24,-0.030182324820551918,24,0.7916666666666666
NGC7331,36,14,rfrac,36.31,22.49,-2.4442925146439958,14,-2.4442925146439958,14,0.8217718413729656,14,1.0
NGC7793,46,7,rfrac,7.87,4.73,-4.1500692973636095,4,-3.7722324770740734,7,-0.9189346505186768,7,0.5714285714285714
NGC7814,18,8,rfrac,19.53,11.74,-1.5151450363273473,8,-1.5151450363273473,8,0.41542730736188754,8,1.0
PGC51017,6,5,lastfrac,3.63,0.99,-0.7270335885904857,3,-2.072254390264941,5,-0.7471120959747458,5,0.6
UGC00128,22,9,rfrac,53.75,33.74,-1.9736178027743498,8,-1.4706996817562303,9,0.16963897036273312,9,0.8888888888888888
UGC00191,9,5,lastfrac,9.98,1.62,-2.056177452470734,5,-2.056177452470734,5,0.3121702303534149,5,1.0
