galaxy,q_est_kms2,q_best_kms2,dq_est_minus_best_kms2,abs_dq_kms2,sparc_Vflat_kms,sparc_Rdisk_kpc,sparc_D_mpc,log10_Vflat,log10_Rdisk,log10_D,rho_slope_outer_abs,rho_slope_outer_pos,rho_closeness_abs,rho_closeness_pos,dv2_outer_log_slope
CamB,42.98816338841357,111.33125094166726,-68.3430875532537,68.3430875532537,0.0,0.47,3.36,nan,-0.3279021420642826,0.526339277389844,1.5412719837772981,1.5412719837772981,3.541271983777298,3.541271983777298,5.720308376072846
D512-2,913.2354086038904,1999.6314101092967,-1086.3960015054063,1086.3960015054063,0.0,1.24,15.2,nan,0.09342168516223506,1.1818435879447726,nan,nan,nan,nan,nan
D564-8,386.79357131747315,723.1871106457618,-336.3935393282886,336.3935393282886,0.0,0.61,8.79,nan,-0.21467016498923297,0.9439888750737718,-1.4192772967565803,-1.4192772967565803,0.5807227032434197,0.5807227032434197,1.093326158838918
D631-7,2874.305043402973,2630.732736634914,243.57230676805875,243.57230676805875,57.7,0.7,7.72,1.7611758131557314,-0.1549019599857432,0.8876173003357362,-4.134218833598249,-4.134218833598249,2.134218833598249,2.134218833598249,0.6273820134461743
DDO064,1565.3124615170698,3482.7902307492527,-1917.477769232183,1917.477769232183,46.1,0.69,6.8,1.6637009253896482,-0.16115090926274472,0.8325089127062363,-2.156595135302719,-2.156595135302719,0.15659513530271907,0.15659513530271907,-0.07892003268815133
DDO154,1897.3138,2262.6552757705276,-365.3414757705277,365.3414757705277,47.0,0.37,4.04,1.6720978579357175,-0.431798275933005,0.6063813651106049,-9.743425338707185,-9.743425338707185,7.743425338707185,7.743425338707185,0.05677507132767756
DDO161,3217.9069103013444,2932.895499355024,285.0114109463202,285.0114109463202,66.3,1.22,7.5,1.8215135284047732,0.08635983067474821,0.8750612633917001,-2.284533190468894,-2.284533190468894,0.28453319046889414,0.28453319046889414,0.647608708969175
DDO168,2178.1929067190695,3192.291108524103,-1014.0982018050336,1014.0982018050336,53.4,1.02,4.25,1.7275412570285564,0.00860017176191757,0.6283889300503115,-5.646305472309678,-5.28920713284075,3.6463054723096784,3.28920713284075,0.09895122499639471
DDO170,2632.509041743061,2753.419890339742,-120.91084859668081,120.91084859668081,60.0,1.95,15.4,1.7781512503836436,0.290034611362518,1.187520720836463,-1.0270314953552258,-1.0270314953552258,0.9729685046447742,0.9729685046447742,0.4166881673121759
ESO079-G014,20213.97366,18486.41627905103,1727.5573809489688,1727.5573809489688,175.0,5.08,28.7,2.2430380486862944,0.7058637122839193,1.4578818967339924,-1.6458420030804437,-1.6458420030804437,0.3541579969195563,0.3541579969195563,0.46362696895482214
