x,y,n,pearson_r,spearman_rho
sparc_L36_1e9solLum,v_extra_asym_kms,175,0.7612717440206711,0.8488695401985887
sparc_L36_1e9solLum,q_best_kms2,175,0.7441193178558693,0.8488695401985887
sparc_T,v_extra_asym_kms,175,-0.757265843757059,-0.8010031400994863
sparc_T,q_best_kms2,175,-0.65283043350461,-0.8010031400994863
sparc_MHI_1e9solMass,v_extra_asym_kms,175,0.6194390774613827,0.7685954530768601
sparc_MHI_1e9solMass,q_best_kms2,175,0.5531138024972563,0.7685954530768601
sparc_SBeff_solLum_pc2,v_extra_asym_kms,175,0.6152964284948995,0.7384240755509313
sparc_SBeff_solLum_pc2,q_best_kms2,175,0.5632379301526452,0.7384240755509313
sparc_L36_1e9solLum,r_t_kpc,175,0.8152056741006881,0.6776456773267857
sparc_Rdisk_kpc,v_extra_asym_kms,175,0.5939000507166928,0.6686431043370602
sparc_Rdisk_kpc,q_best_kms2,175,0.5221211275687918,0.6686431043370602
sparc_Rdisk_kpc,r_t_kpc,175,0.6532029890219478,0.6646644237883576
frac_gas_half_rt,v_extra_asym_kms,175,-0.374600007605645,-0.640965725159946
frac_gas_half_rt,q_best_kms2,175,-0.2934528862562986,-0.640965725159946
sparc_SBdisk_solLum_pc2,v_extra_asym_kms,175,0.38067543061389003,0.6253383244928651
sparc_SBdisk_solLum_pc2,q_best_kms2,175,0.31205420393811245,0.6253383244928651
sparc_MHI_1e9solMass,r_t_kpc,175,0.5803696183048958,0.595653576004348
sparc_T,r_t_kpc,175,-0.6365961185240993,-0.5914287102728151
frac_bul_peak,v_extra_asym_kms,175,0.6239622246858318,0.5863024979613551
frac_bul_peak,q_best_kms2,175,0.6111668100383488,0.5863024979613551
frac_bul_peak,r_t_kpc,175,0.6454186945225545,0.5852256880423222
frac_bul_half_rt,v_extra_asym_kms,175,0.5666981859730763,0.5845253506244299
frac_bul_half_rt,q_best_kms2,175,0.5443983376360203,0.5845253506244299
frac_bul_rt,v_extra_asym_kms,175,0.5239692420871285,0.5838377440847223
frac_bul_rt,q_best_kms2,175,0.5013582799977537,0.5838377440847223
frac_gas_rt,v_extra_asym_kms,175,-0.402354668132781,-0.583533515534271
frac_gas_rt,q_best_kms2,175,-0.3202077954709824,-0.583533515534271
frac_bul_half_rt,r_t_kpc,175,0.5694555369170339,0.5818772513062167
frac_bul_rt,r_t_kpc,175,0.5317083147103375,0.5812095570761004
frac_gas_rt,outer_chi2,175,-0.15927639871700067,-0.4625283694201037
sparc_SBeff_solLum_pc2,r_t_kpc,175,0.6141235430428889,0.44017766030126404
frac_gas_half_rt,outer_chi2,175,-0.13719693305419461,-0.39194224566236335
sparc_SBdisk_solLum_pc2,chi2_red,175,0.09897648441646419,0.3610189786665717
sparc_T,chi2_red,175,-0.1789588014755604,-0.3512235537814665
frac_bul_peak,chi2_red,175,0.26459413181672536,0.3503571234906943
sparc_SBeff_solLum_pc2,outer_chi2,175,0.06698005916880657,0.35009478307891706
frac_bul_half_rt,chi2_red,175,0.18534560501407404,0.34911145946948496
frac_bul_rt,chi2_red,175,0.1702370216492652,0.3469456649579424
sparc_SBeff_solLum_pc2,chi2_red,175,0.2067009125079008,0.3387230040853138
sparc_MHI_1e9solMass,outer_chi2,175,0.09438285125729445,0.3315413300230734
sparc_SBdisk_solLum_pc2,r_t_kpc,175,0.3712213728601421,0.32794929042261717
sparc_SBdisk_solLum_pc2,outer_chi2,175,-0.0019189712217452175,0.31950989379374367
frac_disk_rt,outer_chi2,175,0.07412211021871727,0.30940738680390867
frac_gas_half_rt,r_t_kpc,175,-0.1747344087635994,-0.30731040559180034
sparc_L36_1e9solLum,chi2_red,175,0.1683513158084872,0.29222731565309173
sparc_T,outer_chi2,175,-0.1629651753740701,-0.27406779527402925
sparc_SBeff_solLum_pc2,outer_resid_rms_z,153,0.14421408578151784,0.27348482820233627
frac_disk_rt,r_t_kpc,175,-0.2139491190268008,-0.2678230652863312
frac_disk_half_rt,r_t_kpc,175,-0.3780690678923739,-0.2600723873542264
frac_gas_half_rt,chi2_red,175,0.07914325264126655,-0.2578691678165858
sparc_L36_1e9solLum,outer_chi2,175,0.028159499644101988,0.25456718827415226
sparc_MHI_1e9solMass,chi2_red,175,0.02750240747734855,0.23525644721974842
sparc_SBeff_solLum_pc2,outer_resid_mean_z,153,-0.2140254348396079,-0.22820725890646668
frac_gas_half_rt,outer_resid_rms_z,153,-0.13292937104067493,-0.21832206300617119
sparc_SBdisk_solLum_pc2,outer_resid_rms_z,153,-0.016215626315385843,0.2181958301121719
frac_gas_rt,chi2_red,175,0.10783688675764792,-0.21302836479260578
frac_gas_rt,outer_resid_mean_z,153,0.19200638584450985,0.21264187801923767
sparc_T,outer_resid_rms_z,153,-0.1910556921594964,-0.2073984903299408
frac_gas_half_rt,outer_resid_mean_z,153,0.10066519690562208,0.20150133050586488
frac_gas_rt,outer_resid_rms_z,153,-0.11379302308707921,-0.19226285981360972
frac_disk_half_rt,outer_chi2,175,0.00031490969957189893,0.19178476649299112
frac_bul_half_rt,outer_resid_rms_z,153,0.18923342689951458,0.18815340095182745
frac_bul_rt,outer_resid_rms_z,153,0.18836871218911747,0.18763400235893404
frac_bul_peak,outer_resid_rms_z,153,0.14988425539720554,0.17775534368438886
sparc_MHI_1e9solMass,outer_resid_mean_z,153,-0.20443827997747432,-0.17696599095723203
frac_disk_rt,q_best_kms2,175,-0.04042558139435998,0.158103757269295
frac_disk_rt,v_extra_asym_kms,175,0.01959154402252255,0.158103757269295
sparc_SBdisk_solLum_pc2,outer_resid_mean_z,153,-0.13014541815770259,-0.15217416800329236
frac_bul_half_rt,outer_chi2,175,0.10988546366065609,0.1435664939894481
frac_bul_rt,outer_chi2,175,0.10746663650025129,0.14012504781951785
sparc_L36_1e9solLum,outer_resid_mean_z,153,-0.23598474073352207,-0.1345544128992847
frac_disk_rt,outer_resid_mean_z,153,-0.075938958877529,-0.13411128082597576
frac_bul_peak,outer_chi2,175,0.0814432122161163,0.13355637447778138
sparc_L36_1e9solLum,outer_resid_rms_z,153,0.12011965885223909,0.13331635683159493
frac_gas_rt,r_t_kpc,175,-0.15228926542557372,-0.13119206378606318
sparc_Rdisk_kpc,chi2_red,175,0.017694911133041762,0.13068895235340958
sparc_MHI_1e9solMass,outer_resid_rms_z,153,0.11642092635104644,0.12611995309380186
frac_disk_half_rt,chi2_red,175,-0.21936040974755197,-0.12021108620285412
sparc_Rdisk_kpc,outer_chi2,175,0.01570143555777244,0.11200672422477558
sparc_T,outer_resid_mean_z,153,0.17744335557960267,0.11142275062893905
frac_bul_half_rt,outer_resid_mean_z,153,-0.10909322963541108,-0.10004978429418772
frac_bul_rt,outer_resid_mean_z,153,-0.11123517167152287,-0.09939927537687464
frac_bul_peak,outer_resid_mean_z,153,-0.1271789360737276,-0.09708467388038855
frac_disk_rt,chi2_red,175,-0.2115294380483462,-0.07956368262881121
frac_disk_half_rt,outer_resid_mean_z,153,0.0329401294288139,-0.07630626592972124
frac_disk_half_rt,q_best_kms2,175,-0.2719295789423713,0.04494136224291448
frac_disk_half_rt,v_extra_asym_kms,175,-0.2341227717242951,0.04494136224291448
sparc_Rdisk_kpc,outer_resid_mean_z,153,-0.10021315626130507,-0.04150803364059901
sparc_Rdisk_kpc,outer_resid_rms_z,153,0.03432143145417077,0.013065916788950261
frac_disk_rt,outer_resid_rms_z,153,-0.04681091209802761,0.011910350208080882
frac_disk_half_rt,outer_resid_rms_z,153,-0.08427289255817881,0.006851868024543799
