r_kpc,vobs_kms,e_vobs_kms,vbar_kms,vmodel_kms,gbar_kms2_per_kpc,gextra_kms2_per_kpc,gtot_kms2_per_kpc,vgas_kms,vdisk_kms,vbul_kms,frac_gas,frac_disk,frac_bul
0.45,8.41,1.58,10.975429376566549,10.975429376566549,267.68899999999996,0.0,267.68899999999996,8.4,9.99,0.0,0.5857543642062244,0.41424563579377566,0.0
0.9,17.8,2.22,17.405611164219426,19.923551713033206,336.61699999999996,104.4362365132316,441.0532365132316,13.51,15.52,0.0,0.6024654462225946,0.3975345537774055,0.0
1.35,26.0,2.35,22.234630646808597,27.41184819429902,366.2065185185185,190.39305290910693,556.5995714276255,16.7,20.76,0.0,0.5641220861412342,0.43587791385876584,0.0
1.8,30.9,2.22,24.057781485415482,32.60479690002891,321.5426944444444,269.0532949400749,590.5959893845193,18.72,21.37,0.0,0.6054810243360631,0.39451897566393684,0.0
2.25,34.7,1.82,24.38059064091762,36.8237734690962,264.18364444444444,338.47870777925027,602.6623522236947,19.9,19.92,0.0,0.6662200637536313,0.33377993624636876,0.0
2.69,38.8,1.81,24.510016319864008,40.76331130738779,223.32375464684014,394.38908875204817,617.7128433988883,20.61,18.76,0.0,0.7070803735853509,0.292919626414649,0.0
3.14,42.5,1.57,24.091859621042126,44.188330921776206,184.84640127388533,437.00346804216673,621.849869316052,20.73,17.36,0.0,0.740385587827525,0.2596144121724751,0.0
3.59,45.6,1.59,23.62082344034602,47.16408018664597,155.4159610027855,464.2081225215518,619.6240835243373,20.61,16.32,0.0,0.7613176822806189,0.2386823177193812,0.0
4.04,48.8,1.83,23.09681471545373,49.598280449457704,132.04525990099006,476.8630132532323,608.9082731542223,20.38,15.37,0.0,0.7785816763060446,0.22141832369395545,0.0
4.49,51.8,1.91,22.382807017887636,51.410321881943624,111.57907572383071,477.0670703797442,588.6461461035749,19.9,14.49,0.0,0.790454820410106,0.20954517958989408,0.0
4.94,54.8,2.19,21.717368625135045,52.74181830348151,95.47451417004048,467.6225299509022,563.0970441209427,19.43,13.72,0.0,0.8004444452925416,0.19955555470745848,0.0
5.39,56.6,2.73,20.97537603953741,53.605132274126895,81.62641929499073,451.4923573518815,533.1187766468722,18.84,13.04,0.0,0.8067561522879929,0.1932438477120071,0.0
5.84,58.4,3.27,20.26237276332661,54.12750588610996,70.30201198630137,431.37382593336787,501.6758379196692,18.25,12.45,0.0,0.8112321168149892,0.18876788318501084,0.0
6.29,58.5,3.95,19.56233498332957,54.38835776833659,60.84021462639108,409.4449142665468,470.28512889293785,17.65,11.93,0.0,0.814044294138037,0.18595570586196297,0.0
6.74,57.7,4.07,18.892824034537558,54.47203009347799,52.95827893175073,387.2794158018949,440.23769473364564,17.06,11.48,0.0,0.8153879600648627,0.18461203993513736,0.0
7.19,57.3,3.94,18.238533384019668,54.436906934862805,46.264826147426966,365.88772414950125,412.1525502969282,16.47,11.08,0.0,0.8154688449306631,0.18453115506933693,0.0
