r_kpc,vobs_kms,e_vobs_kms,vbar_kms,vmodel_kms,gbar_kms2_per_kpc,gextra_kms2_per_kpc,gtot_kms2_per_kpc,vgas_kms,vdisk_kms,vbul_kms,frac_gas,frac_disk,frac_bul
0.6,16.0,3.53,11.214564191264857,11.214564191264857,209.61075,0.0,209.61075,6.82,12.59,0.0,0.3698315409236725,0.6301684590763276,0.0
0.73,16.6,4.83,12.924341375869023,13.628736678791949,228.81999999999996,25.621730766916457,254.4417307669164,8.12,14.22,0.0,0.39472553050612247,0.6052744694938776,0.0
0.85,18.6,2.5,14.250489465278028,15.592313917974144,238.91347058823533,47.11035684311786,286.0238274313532,9.3,15.27,0.0,0.4258987194231532,0.5741012805768467,0.0
0.98,20.0,7.58,15.923218895688144,17.926460193975426,258.72336734693874,69.1929337614139,327.9163011083526,10.41,17.04,0.0,0.427405127768253,0.572594872231747,0.0
1.07,21.4,4.03,17.01626721698975,19.481087555404063,270.6106074766355,84.07422648721409,354.6848339638496,11.27,18.03,0.0,0.4386511155888888,0.5613488844111112,0.0
1.54,28.9,2.74,21.9869324827271,27.017217408412225,313.91246753246753,160.06807564507312,473.98054317754065,15.22,22.44,0.0,0.47918147419704227,0.5208185258029577,0.0
2.02,32.9,2.65,25.72335125911863,33.7261494077165,327.569702970297,235.52591775822575,563.0956207285227,18.74,24.92,0.0,0.530742757795635,0.46925724220436504,0.0
2.49,35.2,2.88,28.235113776997604,39.453461287504254,320.16933734939755,304.96142874080186,625.1307660901994,21.52,25.85,0.0,0.5809054483154089,0.4190945516845912,0.0
2.96,37.6,3.05,29.668475693907837,44.31042716379539,297.371097972973,365.9444275128432,663.3155254858162,23.28,26.01,0.0,0.6157089754253618,0.38429102457463826,0.0
3.43,40.6,3.68,30.43407465325667,48.47088381039126,270.03874635568513,414.9252703674778,684.964016723163,24.59,25.36,0.0,0.6528251155837803,0.34717488441621974,0.0
3.9,42.7,3.25,31.130924335779046,52.18410744574429,248.49601282051282,449.7555435664063,698.2515563869191,25.62,25.01,0.0,0.677289306968708,0.322710693031292,0.0
4.37,45.5,2.99,31.52709469646704,55.208283453433374,227.45027459954235,470.022165188706,697.4724397882484,26.35,24.48,0.0,0.6985433082313262,0.3014566917686738,0.0
4.86,48.9,1.96,31.84605784080661,57.72377259077901,208.6772427983539,476.92644487900606,685.60368767736,27.08,23.7,0.0,0.7230793532533061,0.27692064674669387,0.0
5.34,51.5,1.53,32.106294554183606,59.59929850600327,193.0363576779026,472.14648546960376,665.1828431475063,27.81,22.69,0.0,0.7502769534158994,0.2497230465841006,0.0
5.81,53.0,1.86,32.2432016090214,60.89686224107358,178.93701376936315,459.3466059911003,638.2836197604635,28.4,21.59,0.0,0.7758189126155749,0.2241810873844252,0.0
6.28,55.0,1.48,32.51784433199716,61.88121997464961,168.3774203821656,441.3813989730849,609.7588193552506,28.98,20.86,0.0,0.7942427640663955,0.20575723593360457,0.0
6.75,57.6,0.99,32.81144541162428,62.579897669168574,159.49495555555555,420.6892803383126,580.1842358938682,29.57,20.11,0.0,0.8121793147155844,0.18782068528441556,0.0
7.22,59.7,1.19,33.2548071712948,63.14682665099149,153.16927977839336,399.11904654991275,552.2883263283061,30.3,19.38,0.0,0.8301878807706644,0.16981211922933562,0.0
7.69,60.5,1.26,33.86794059283794,63.66471806654037,149.15960988296487,377.9140346543656,527.0736445373304,31.18,18.7,0.0,0.8475681786836246,0.15243182131637556,0.0
8.16,61.8,1.33,34.509787017598356,64.11388105476343,145.94674019607845,357.8020029294549,503.74874312553334,32.06,18.06,0.0,0.863062959275199,0.13693704072480103,0.0
8.64,62.9,1.35,34.89942764573654,64.37986223538684,140.96875578703703,338.7496078064108,479.7183635934478,32.64,17.47,0.0,0.8747091933828751,0.12529080661712494,0.0
9.11,63.0,2.09,35.323005251535434,64.63668660561888,136.96099890230514,321.6450664492856,458.6060653515907,33.23,16.94,0.0,0.8850043202985426,0.11499567970145744,0.0
9.58,64.5,2.38,35.34630390861257,64.6615518729199,130.41348643006265,306.0287150954396,436.44220152550224,33.38,16.44,0.0,0.8918352835032816,0.1081647164967185,0.0
10.05,65.6,1.08,35.240666849536204,64.6091725292832,123.57259701492538,291.7851318327046,415.35772884763,33.38,15.98,0.0,0.897190009602992,0.10280999039700796,0.0
10.52,67.5,3.22,34.58896572608091,64.2582300747299,113.7259077946768,278.7760059255629,392.5019137202397,32.79,15.57,0.0,0.8986853898901664,0.10131461010983357,0.0
10.99,66.8,2.37,33.80916739584103,63.84272694949521,104.00908098271158,266.8638748269155,370.87295580962706,32.06,15.18,0.0,0.8992036987041272,0.10079630129587269,0.0
11.46,66.8,0.95,32.89164711594724,63.36193759166393,94.40318062827225,255.92274741447773,350.32592804275,31.18,14.81,0.0,0.8986301329344278,0.10136986706557208,0.0
11.94,66.6,0.96,31.9809388542613,62.89411366333926,85.6600041876047,245.63560163291777,331.2956058205225,30.3,14.47,0.0,0.8976413266405316,0.1023586733594683,0.0
12.41,66.8,0.99,31.077149161401532,62.439433397485516,77.82346494762288,236.33308968565913,314.156554633282,29.42,14.16,0.0,0.8961959814833299,0.1038040185166701,0.0
12.9,66.3,0.74,30.317748926989946,62.064974051384795,71.25317054263566,227.3562096123308,298.60938015496646,28.69,13.86,0.0,0.895503303592964,0.10449669640703597,0.0
13.37,66.1,1.31,29.423462576658103,61.63307269116982,64.75244203440539,219.363911694467,284.11635372887235,27.81,13.59,0.0,0.8933351421901825,0.10666485780981741,0.0
