r_kpc,vobs_kms,e_vobs_kms,vbar_kms,vmodel_kms,gbar_kms2_per_kpc,gextra_kms2_per_kpc,gtot_kms2_per_kpc,vgas_kms,vdisk_kms,vbul_kms,frac_gas,frac_disk,frac_bul
0.25,20.9,3.4,12.25613519834046,12.25613519834046,600.8513999999998,0.0,600.8513999999998,-0.22,17.33,0.0,0.00032220945145505206,0.999677790548545,0.0
0.83,40.0,3.29,24.785899217095192,29.52896085912939,740.1696385542169,310.3840113493922,1050.553649903609,-1.8,34.96,0.0,0.005273945666639754,0.9947260543333603,0.0
1.38,51.5,2.96,36.33593675688024,46.192491364145255,956.739347826087,589.4535930627782,1546.1929408888652,-1.55,51.34,0.0,0.0018196617845197794,0.9981803382154802,0.0
1.85,67.9,3.45,43.93627829026942,58.95715687975459,1043.4575945945944,835.4323228886458,1878.8899174832402,5.01,61.73,0.0,0.013002561572128793,0.9869974384278711,0.0
2.68,80.2,2.93,44.57321673381898,72.64523002199718,741.3327052238806,1227.8200727421192,1969.1527779659998,12.54,60.49,0.0,0.07914930737007445,0.9208506926299255,0.0
3.19,83.3,3.08,47.68067585510927,82.52331296126273,712.6792633228841,1422.1474395305688,2134.826702853453,16.68,63.17,0.0,0.12237910906076382,0.8776208909392361,0.0
3.68,91.4,2.83,50.29160864398752,90.85227609137098,687.2950815217392,1555.676676897472,2242.9717584192113,20.19,65.14,0.0,0.16116902670475813,0.8388309732952418,0.0
4.13,102.0,5.4,51.93175618058761,97.09236057630211,653.0041888619854,1629.5445961933815,2282.548785055367,22.31,66.32,0.0,0.18455810475947765,0.8154418952405224,0.0
5.23,105.0,4.21,52.3288839934505,106.29591100278867,523.5778393881453,1636.808526943168,2160.386366331313,25.63,64.52,0.0,0.2398911723758588,0.7601088276241411,0.0
6.05,109.0,2.1,50.493588206820874,108.98955003210258,421.42189256198355,1542.0032340826763,1963.42512664466,27.28,60.09,0.0,0.29188801571790146,0.7081119842820985,0.0
6.81,108.0,2.1,48.685626215547444,109.83340102871858,348.06023494860506,1423.3606140286815,1771.4208489772866,28.58,55.74,0.0,0.3446060739735581,0.6553939260264419,0.0
7.56,109.0,2.1,48.78018091397366,110.61041196026726,314.74947751322753,1303.5922201084702,1618.3416976216977,30.7,53.61,0.0,0.3960864062522556,0.6039135937477444,0.0
8.32,110.0,2.1,49.539530680053886,111.23582342919238,294.9717668269231,1192.2167444676036,1487.1885112945267,33.83,51.18,0.0,0.46633737070093606,0.5336626292990638,0.0
9.09,111.0,2.33,49.638324911302156,111.37670603048895,271.06306930693074,1093.5981678990045,1364.6612372059353,35.49,49.08,0.0,0.5111846024654669,0.488815397534533,0.0
9.86,112.0,4.74,47.032811950807286,110.26778384571782,224.3494320486816,1008.8132610797105,1233.1626931283922,33.74,46.34,0.0,0.5146219038378899,0.4853780961621102,0.0
