r_kpc,vobs_kms,e_vobs_kms,vbar_kms,vmodel_kms,gbar_kms2_per_kpc,gextra_kms2_per_kpc,gtot_kms2_per_kpc,vgas_kms,vdisk_kms,vbul_kms,frac_gas,frac_disk,frac_bul
0.44,15.7,9.1,8.915166852056108,8.915166852056108,180.6368181818182,0.0,180.6368181818182,-2.08,12.26,0.0,0.05443368285434611,0.9455663171456538,0.0
1.32,44.5,9.1,20.854067948484296,42.143196942062566,329.46374999999995,1016.0279534071752,1345.4917034071752,-5.39,28.49,0.0,0.06680299931833673,0.9331970006816632,0.0
2.2,69.4,9.1,26.104413419956405,67.89636328944431,309.7456363636364,1785.6707945146366,2095.416430878273,-6.26,35.84,0.0,0.05750701015085104,0.942492989849149,0.0
3.08,90.0,11.4,28.608952270224787,89.08309898291655,265.73771103896104,2310.8202514286063,2576.5579624675674,-3.53,40.15,0.0,0.015224586444389097,0.9847754135556108,0.0
3.96,105.0,9.88,29.211390757716412,104.37579279226905,215.48114898989897,2535.6062553067386,2751.0874042966375,1.83,41.23,0.0,0.003924620887470119,0.99607537911253,0.0
4.84,113.0,16.2,31.163067884917876,114.48544548948378,200.64809917355373,2507.392650604455,2708.040749778009,8.4,42.44,0.0,0.0726571168964043,0.9273428831035957,0.0
5.53,117.0,24.8,33.44753578367171,119.38401190569564,202.30337251356235,2375.0098822241007,2577.313254737663,13.64,43.19,0.0,0.16630315427392656,0.8336968457260735,0.0
7.48,124.0,9.1,43.099569603419475,127.06997481383527,248.3386229946524,1910.3216041696164,2158.6602271642687,27.27,47.2,0.0,0.4003357822457465,0.5996642177542534,0.0
8.37,127.0,9.1,47.04590205320757,128.71345006583562,264.4345161290323,1714.9146150358852,1979.3491311649175,32.13,48.6,0.0,0.4664207371298706,0.5335792628701294,0.0
9.24,130.0,9.1,50.13310682572944,129.93420938368394,272.0052380952381,1555.148308242751,1827.1535463379892,36.26,48.96,0.0,0.5231260666134995,0.4768739333865006,0.0
10.13,133.0,9.1,52.70897551650952,130.9624467676284,274.25825271470876,1418.8476173113427,1693.1058700260514,39.77,48.92,0.0,0.5693011115937916,0.4306988884062085,0.0
13.23,142.0,23.8,59.124520294037055,133.6799849626893,264.2259183673469,1086.5177233276522,1350.743641694999,47.41,49.96,0.0,0.6429906391805107,0.3570093608194893,0.0
