r_kpc,vobs_kms,e_vobs_kms,vbar_kms,vmodel_kms,gbar_kms2_per_kpc,gextra_kms2_per_kpc,gtot_kms2_per_kpc,vgas_kms,vdisk_kms,vbul_kms,frac_gas,frac_disk,frac_bul
0.39,17.4,30.4,8.732888983606742,8.732888983606742,195.54705128205129,0.0,195.54705128205129,-1.11,12.25,0.0,0.0161558599248525,0.9838441400751474,0.0
1.18,46.3,37.1,20.68399502030495,37.53853284669835,362.56580508474576,831.6218629513994,1194.1876680361452,-2.76,28.99,0.0,0.017805300802788224,0.9821946991972118,0.0
1.95,69.1,13.1,24.733400494068746,58.73376041577474,313.71338461538465,1455.340262860322,1769.0536474757066,-2.63,34.78,0.0,0.011306907448265284,0.9886930925517347,0.0
2.74,85.2,6.2,26.219536609177513,77.24026501240255,250.89930656934303,1926.4943208708678,2177.393627440211,-0.03,37.08,0.0,1.3091592710077517e-06,0.999998690840729,0.0
3.53,93.2,6.2,29.384785178728126,92.50308777647186,244.6078186968839,2179.4208635075515,2424.0286822044354,3.84,41.2,0.0,0.017077229249202283,0.9829227707507977,0.0
4.3,100.0,12.4,32.22148429231651,103.05821707111508,241.44745348837205,2228.5516409016454,2469.9990943900175,7.34,44.37,0.0,0.05189207474051483,0.9481079252594852,0.0
5.09,108.0,6.2,33.56661511085084,109.54548000618614,221.35906679764244,2136.246471470674,2357.605538268316,9.92,45.35,0.0,0.08733900636064412,0.9126609936393558,0.0
5.87,112.0,6.2,34.020939140476415,112.87390808474919,197.1762010221465,1973.2699874487917,2170.446188470938,12.15,44.94,0.0,0.12754397847012544,0.8724560215298746,0.0
6.4,113.0,24.9,34.702012909916334,114.18609388578069,188.16089062499998,1849.0991151394253,2037.2600057644254,13.65,45.12,0.0,0.15472338873555438,0.8452766112644456,0.0
7.44,113.0,15.5,36.57912519456965,115.7445450176191,179.843064516129,1620.8020566311363,1800.6451211472654,17.06,45.76,0.0,0.21751610798064383,0.7824838920193562,0.0
8.21,112.0,13.1,38.12186970755763,116.43482509813605,177.0130267965895,1474.2742442915383,1651.2872710881277,19.87,46.01,0.0,0.27167354439909064,0.7283264556009094,0.0
9.0,111.0,26.4,38.981473804873,116.77732744434503,168.83947777777777,1346.3765450048643,1515.216022782642,22.99,44.52,0.0,0.3478255118454721,0.6521744881545279,0.0
9.72,111.0,19.4,40.442775003701215,117.28652337568208,168.27346193415636,1246.966102423294,1415.2395643574503,26.1,43.69,0.0,0.41648476549888896,0.583515234501111,0.0
11.79,113.0,12.5,44.75253456509475,118.84905102078478,169.87187022900764,1028.1855452536986,1198.0574154827063,34.23,40.77,0.0,0.5850305225559541,0.4149694774440458,0.0
17.63,118.0,14.6,42.9724109167731,118.19043384298588,104.743511060692,687.5978758929793,792.3413869536713,36.03,33.12,0.0,0.7029898981825308,0.29701010181746934,0.0
