r_kpc,vobs_kms,e_vobs_kms,vbar_kms,vmodel_kms,gbar_kms2_per_kpc,gextra_kms2_per_kpc,gtot_kms2_per_kpc,vgas_kms,vdisk_kms,vbul_kms,frac_gas,frac_disk,frac_bul
0.77,35.1,3.96,112.9124657422731,112.91246574227311,16557.434961038958,0.0,16557.434961038958,2.22,20.98,133.76,0.00038656467596463127,0.017262241538680147,0.9823511937853553
1.59,77.9,3.95,150.63276529361067,150.65327163403768,14270.584893081761,3.885706942855102,14274.470600024617,3.89,40.96,176.62,0.0006668993665263855,0.036970132111459546,0.962362968522014
2.36,115.0,6.7,153.6964205178507,153.80829130093795,10009.571898305083,14.576607167029524,10024.148505472112,4.02,58.24,176.92,0.0006841078907484118,0.07179351726351454,0.9275223748457371
3.13,156.0,3.16,153.7074553494397,154.15293783207252,7548.237006389777,43.81674513061273,7592.05375152039,0.9,74.68,172.53,3.428428946692371e-05,0.1180290080668364,0.8819367076436967
3.95,192.0,3.14,158.90467998142788,160.3892389233605,6392.5816,120.00269428223073,6512.584294282231,0.0,91.45,173.49,0.0,0.1656014167453495,0.8343985832546504
4.73,204.0,2.9,164.23977511553042,168.05615470669557,5702.897194503171,268.11150207205,5971.008696575221,0.0,107.35,174.08,0.0,0.21360795312801753,0.7863920468719825
5.5,209.0,3.36,164.18961757675177,172.69524265331464,4901.496458181818,520.9847845613151,5422.4812427431325,0.0,120.52,167.74,0.0,0.26939955108003133,0.7306004489199687
6.27,220.0,3.25,162.92780017541511,179.34149983189386,4233.726964912281,895.9976861169349,5129.724651029216,0.0,132.68,159.21,0.0,0.3315816913376431,0.6684183086623569
7.08,231.0,3.49,164.99062191530766,192.68518530070077,3844.901881355932,1399.1066828199707,5244.008564175902,0.0,150.86,150.44,0.0,0.4180225324507154,0.5819774675492846
7.86,235.0,4.65,169.90780888470076,209.711061266792,3672.857954198473,1922.4002159852648,5595.258170183738,0.24,170.8,142.84,1.995243041303077e-06,0.5052648173302067,0.49473318742675204
8.66,245.0,6.0,174.94316871487152,226.77047067200462,3534.0776304849887,2404.1263381989033,5938.2039686838925,0.0,187.59,136.33,0.0,0.5749040842924168,0.4250959157075833
9.45,246.0,5.57,178.6200235975799,240.57078215816708,3376.202415873016,2748.062264358973,6124.264680231989,3.8,199.82,130.53,0.00045259203679800933,0.6257309386860426,0.37381646927715945
10.24,239.0,6.95,180.73830493285035,250.30553575404215,3190.0717646484372,2928.371714757625,6118.443479406062,0.0,208.12,125.41,0.0,0.6629751175387985,0.3370248824612015
11.02,240.0,7.16,181.4475949137932,256.05487969064654,2987.58890199637,2961.966580162568,5949.555482158938,3.35,212.98,120.9,0.00034086874532846944,0.6888826037622913,0.3107765274923803
11.79,240.0,4.85,181.39598225980643,258.95885566966035,2790.882305343512,2896.962387594571,5687.8446929380825,15.63,214.9,116.92,0.007424421654481194,0.7017582193868752,0.29081735895864347
12.47,246.0,7.68,180.59453142329642,259.7318478539591,2615.4278091419405,2794.406416169379,5409.83422531132,22.51,214.77,113.67,0.015536092537631491,0.7071443047468701,0.27731960271549844
13.34,241.0,6.21,179.16039146530127,259.5015692931985,2406.1803500749625,2641.8754569439816,5048.055807018944,30.77,213.03,109.94,0.029496534001507407,0.7069155479333493,0.26358791806514337
14.11,250.0,5.62,177.66157660000655,258.7014406903644,2236.969227498228,2506.2225099411867,4743.191737439414,37.16,210.67,106.85,0.043748622901041076,0.7030534945533746,0.2531978825455843
14.59,242.0,5.1,176.6381113463343,258.05279372460546,2138.5210678546946,2425.6492096692104,4564.170277523905,39.71,209.26,105.08,0.05053950094310981,0.7017357807491179,0.24772471830777232
14.98,244.0,7.41,175.8401485725032,257.5280930928903,2064.069282376502,2363.2150121535615,4427.284294530064,41.88,208.03,103.7,0.056725360156725815,0.6998192079955116,0.24345543184776264
15.75,248.0,5.08,174.02663008861603,256.3107067968457,1922.8741574603175,2248.2482818221342,4171.1224392824515,44.73,205.55,101.13,0.06606422968821951,0.6975471131360286,0.23638865717575197
16.52,249.0,5.22,172.0130698522644,254.95196819312892,1791.0711985472153,2143.5841335078826,3934.655332055098,46.3,203.07,98.75,0.07245011660984649,0.6968489480043261,0.23070093538582742
17.1,246.0,6.35,170.28304795251935,253.78863881139074,1695.6910187134504,2070.898056709856,3766.5890754233064,46.79,201.06,97.06,0.075502835197713,0.6970734319224952,0.22742373287979176
17.88,241.0,16.2,167.7932138973445,252.1250409616765,1574.6399681208052,1980.563403239768,3555.2033713605733,46.99,198.19,94.92,0.07842636836585802,0.6975650202100121,0.22400861142412995
18.65,247.0,14.6,165.31732930942235,250.4841525291231,1465.4058643431636,1898.793099100965,3364.198963444129,47.18,195.23,92.94,0.08144775382026245,0.6973107356472075,0.2212415105325301
19.62,234.0,20.9,162.35600949764685,248.53967082080968,1343.5001946992863,1804.918152482998,3148.4183471822844,47.77,191.47,90.61,0.08657126145926991,0.6954000893633924,0.2180286491773378
20.78,249.0,10.0,159.79038237641214,246.8713443656417,1228.727925890279,1704.1623854138238,2932.890311304103,51.51,186.83,88.05,0.10391585798630847,0.6835368928521244,0.21254724916156723
22.13,236.0,16.1,157.58511281209275,245.44971410849072,1122.1449516493446,1600.2030897397124,2722.348041389057,57.31,181.4,85.32,0.13226058613045033,0.6625431922370407,0.20519622163250906
23.0,245.0,22.1,155.90983089593806,244.37751481261134,1056.864146521739,1539.6736685212204,2596.5378150429597,59.87,177.88,83.69,0.1474590784031982,0.6508445085877532,0.2016964130090486
23.58,243.0,4.2,154.77970845689043,243.65806476697927,1015.977868956743,1501.8021363863222,2517.780005343065,61.24,175.64,82.65,0.15654612266476467,0.6438560970320601,0.19959778030317515
25.03,238.0,7.76,150.64421273318135,241.05222091071846,906.6591622053534,1414.8020126244433,2321.4611748297966,61.05,170.07,80.22,0.16423527132467133,0.6372656702483174,0.19849905842701132
25.9,247.0,6.14,148.0362105364765,239.4310213944505,846.128171042471,1367.277775134742,2213.405946177213,60.16,166.98,78.87,0.16515044048501024,0.6361550791147402,0.19869448040024965
