r_kpc,vobs_kms,e_vobs_kms,vbar_kms,vmodel_kms,gbar_kms2_per_kpc,gextra_kms2_per_kpc,gtot_kms2_per_kpc,vgas_kms,vdisk_kms,vbul_kms,frac_gas,frac_disk,frac_bul
0.25,4.25,2.0,2.764796556710819,2.764796556710819,30.5764,0.0,30.5764,1.87,2.88,0.0,0.4574639264269176,0.5425360735730825,0.0
0.41,6.84,2.0,4.329532307305259,5.354967882674585,45.719146341463414,24.22153908408861,69.94068542555203,3.32,3.93,0.0,0.5880228436077108,0.4119771563922891,0.0
0.57,9.56,2.0,5.878775382679628,7.751644853108939,60.63157894736843,44.78596127847419,105.41754022584263,4.8,4.8,0.0,0.6666666666666666,0.3333333333333333,0.0
0.74,12.3,2.0,7.854832907197963,10.51595567559619,83.37621621621622,66.06341050149152,149.43962671770774,6.44,6.36,0.0,0.6721989549161729,0.3278010450838271,0.0
0.9,15.1,2.0,9.596006982073325,13.030546214784493,102.31483333333333,86.34642739514942,188.66126072848274,8.03,7.43,0.0,0.7002449411321373,0.29975505886786263,0.0
1.07,17.5,2.0,11.510034752336763,15.763541559421652,123.81392523364484,108.41901167814359,232.23293691178844,9.79,8.56,0.0,0.7234559849759474,0.27654401502405257,0.0
1.24,19.7,2.0,13.38581712111741,18.48406139178546,144.5000806451613,131.03260123814024,275.5326818833015,11.57,9.52,0.0,0.7470969153382546,0.2529030846617453,0.0
1.4,21.8,2.0,14.92230880259486,20.892224686287257,159.0537857142857,152.72125167307914,311.7750373873648,13.11,10.08,0.0,0.7718507620737459,0.22814923792625408,0.0
1.57,24.4,2.0,16.25314892566976,23.24983597795755,168.2578662420382,176.04460063817146,344.30246688020964,14.44,10.55,0.0,0.7893313588087135,0.21066864119128645,0.0
1.72,27.3,2.0,17.362109606842136,25.294144356864855,175.25747093023253,196.71563299181287,371.9731039220454,15.54,10.95,0.0,0.801119018082532,0.19888098191746795,0.0
1.89,30.3,2.0,18.378403086231405,27.45274884677083,178.7120105820106,220.0464122983477,398.7584228803583,16.53,11.36,0.0,0.8089658008495237,0.19103419915047617,0.0
2.06,32.6,2.0,19.136939410470003,29.443773996609576,177.77788834951457,243.0647461958359,420.8426345453505,17.3,11.57,0.0,0.8172355353965874,0.18276446460341247,0.0
2.46,33.3,2.0,20.032756924597273,33.548680469938404,163.1346951219512,294.3913053959458,457.526000517897,18.07,12.23,0.0,0.8136448171725021,0.1863551828274979,0.0
2.79,34.6,2.0,20.254547637506,36.58423377609154,147.04182795698924,332.6736419296476,479.7154698866368,18.07,12.94,0.0,0.7959232822591871,0.204076717740813,0.0
3.13,34.2,2.0,19.5092119266771,39.09473990982179,121.60043130990414,366.70585898294325,488.3062902928474,17.41,12.45,0.0,0.7963758641241998,0.2036241358758002,0.0
