r_kpc,vobs_kms,e_vobs_kms,vbar_kms,vmodel_kms,gbar_kms2_per_kpc,gextra_kms2_per_kpc,gtot_kms2_per_kpc,vgas_kms,vdisk_kms,vbul_kms,frac_gas,frac_disk,frac_bul
0.11,6.8,3.62,8.53720094644609,8.53720094644609,662.58,0.0,662.58,1.06,11.98,0.0,0.015416320224796182,0.9845836797752039,0.0
0.17,9.5,4.31,11.058679848878889,11.68519131982766,719.3788235294116,83.81938929985701,803.1982128292686,1.76,15.44,0.0,0.025329042049349767,0.9746709579506503,0.0
0.24,14.0,3.11,14.021986307224807,15.355263650058555,819.23375,163.20009067837327,982.4338406783733,2.47,19.52,0.0,0.031029503687643085,0.968970496312357,0.0
0.31,19.8,5.5,16.601835741869028,18.68202847420852,889.0998387096774,236.76528358431563,1125.865122293993,2.93,23.11,0.0,0.031147487155820344,0.9688525128441796,0.0
0.38,26.1,3.9,18.864796579873317,21.753320049379052,936.5277631578947,308.7536399229383,1245.2814030808331,3.29,26.27,0.0,0.03041498053209146,0.9695850194679085,0.0
0.45,28.7,3.5,21.015620381040385,24.758435362521634,981.4584444444444,380.71960355591534,1362.1780480003597,3.99,29.18,0.0,0.03604635550313672,0.9639536444968633,0.0
0.52,28.7,2.7,23.194603898320832,27.81589484406529,1034.5954807692308,453.33529995403467,1487.9307807232653,4.46,32.19,0.0,0.03697394550248318,0.9630260544975168,0.0
0.59,31.7,2.5,25.387577670979166,30.909641111597665,1092.4222033898304,526.9098536402859,1619.3320570301162,4.93,35.22,0.0,0.037709546395965673,0.9622904536040343,0.0
0.66,35.5,2.3,27.512805200488007,33.970519202252845,1146.9006818181815,601.5783710161052,1748.4790528342867,5.88,38.01,0.0,0.04567566780273239,0.9543243321972676,0.0
0.73,39.4,2.1,29.57435882652403,37.00178121599093,1198.1406849315067,677.3823467891227,1875.5230317206294,6.93,40.66,0.0,0.054908021298297006,0.945091978701703,0.0
0.8,42.9,2.3,31.56889608459567,40.00052020515667,1245.744,754.3080208539338,2000.0520208539338,7.52,43.36,0.0,0.056743600611361564,0.9432563993886385,0.0
0.87,46.0,2.6,33.55183601533603,43.009676342985045,1293.9375862068964,832.3063898026758,2126.243976009572,8.45,45.92,0.0,0.0634279736173741,0.9365720263826259,0.0
0.94,49.1,3.1,35.70556259184274,46.168315838709304,1356.2629787234043,911.3044546625704,2267.5674333859747,9.28,48.76,0.0,0.0675498193095044,0.9324501806904956,0.0
1.01,49.2,3.2,38.2977923645737,49.677409277779205,1452.198910891089,991.211972823746,2443.410883714835,10.11,52.24,0.0,0.06968749132844565,0.9303125086715544,0.0
1.08,51.4,3.2,41.05233428198694,53.319545941178276,1560.4575462962962,1071.925767938352,2632.3833142346484,11.31,55.81,0.0,0.07590134932824635,0.9240986506717537,0.0
1.14,57.2,3.1,43.39939400498583,56.43585459414561,1652.1994736842107,1141.665161203111,2793.8646348873217,13.04,58.54,0.0,0.0902792311832701,0.9097207688167299,0.0
1.21,63.8,2.9,46.46000053809728,60.32454998629787,1783.9104545454545,1223.569984338306,3007.4804388837606,15.48,61.95,0.0,0.11101546738960257,0.8889845326103976,0.0
1.29,67.8,2.8,49.930820642164484,64.75308847154199,1932.6254651162785,1317.7330361266231,3250.3585012429016,17.62,66.07,0.0,0.12453011815452804,0.875469881845472,0.0
1.35,69.8,3.3,52.52373558687539,68.0691036504431,2043.513185185185,1388.6370902035294,3432.1502753887144,19.66,68.88,0.0,0.14010570322104693,0.859894296778953,0.0
1.42,71.7,3.9,55.2458256341599,71.70548274126338,2149.3670774647885,1471.5316937729722,3620.8987712377607,21.7,71.85,0.0,0.1542838724632743,0.8457161275367258,0.0
1.49,74.1,4.4,57.82906795029641,75.23549852386626,2244.430268456376,1554.4826430434111,3798.912911499787,23.73,74.58,0.0,0.16838487972508592,0.831615120274914,0.0
1.56,76.7,4.8,60.28965251185314,78.67087175974083,2330.027051282051,1637.3486304087096,3967.3756816907608,25.98,76.94,0.0,0.1856918025217161,0.8143081974782839,0.0
1.63,79.9,4.4,62.1856136899846,81.6739197718524,2372.4236503067486,1719.986883987105,4092.4105342938537,27.71,78.73,0.0,0.19856065755333868,0.8014393424466614,0.0
1.74,83.6,3.35,64.20776393863908,85.67323695749407,2369.33158045977,1849.003782054556,4218.335362514326,30.15,80.17,0.0,0.22049540403988274,0.7795045959601172,0.0
1.93,83.9,3.95,62.84432193921739,89.10839132823968,2046.3258031088083,2067.822075184819,4114.147878293627,29.44,78.52,0.0,0.21945401043315652,0.7805459895668435,0.0
2.1,88.7,4.44,61.15324439471711,92.09127022392335,1780.8187142857143,2257.6584530741284,4038.4771673598425,29.75,75.56,0.0,0.23666548984037383,0.7633345101596262,0.0
2.27,85.3,5.36,60.03266027755225,95.61553450753175,1587.6300881057268,2439.8282551370016,4027.4583432427285,29.85,73.66,0.0,0.24723701575753496,0.752762984242465,0.0
