r_kpc,vobs_kms,e_vobs_kms,vbar_kms,vmodel_kms,gbar_kms2_per_kpc,gextra_kms2_per_kpc,gtot_kms2_per_kpc,vgas_kms,vdisk_kms,vbul_kms,frac_gas,frac_disk,frac_bul
0.14,5.23,5.31,3.2050117004466614,3.2050117004466614,73.37214285714285,0.0,73.37214285714285,-0.97,4.32,0.0,0.09159762852775966,0.9084023714722405,0.0
0.42,15.4,7.78,8.021888805013441,10.600575327128126,153.21595238095236,114.3368982526609,267.5528506336133,0.23,11.34,0.0,0.0008220578797122644,0.9991779421202879,0.0
0.69,24.4,4.0,12.996805376707,17.692994806520776,244.80717391304347,208.87697858488573,453.6841524979292,3.77,17.59,0.0,0.08414134875156105,0.915858651248439,0.0
0.97,32.1,4.0,17.419889494483023,24.533605910416533,312.8376804123711,307.6755350181701,620.5132154305412,5.25,23.49,0.0,0.09082968655231272,0.9091703134476873,0.0
1.25,34.6,4.0,20.43803317347342,30.4337384142192,334.17056,406.799387092097,740.9699470920971,5.18,27.96,0.0,0.06423641867195003,0.9357635813280499,0.0
1.52,37.9,4.0,22.05918176179706,35.32221261349055,320.13651315789474,500.6915815214678,820.8280946793625,-5.25,30.3,0.0,0.05664216026263467,0.9433578397373653,0.0
1.8,40.5,4.0,23.607643889215204,40.326096844183745,309.6226944444444,593.8184648258257,903.4411592702701,-9.36,30.65,0.0,0.1571977793402131,0.8428022206597869,0.0
2.07,43.0,4.0,23.718047980388267,44.32399850237305,271.76125603864733,677.3290063953472,949.0902624339944,-9.36,30.82,0.0,0.1557377194887954,0.8442622805112046,0.0
2.35,45.1,4.0,23.316701095995548,48.151252544888976,231.34831914893616,755.2657751666712,986.6140943156074,-7.81,31.07,0.0,0.11219354145094469,0.8878064585490554,0.0
2.63,45.6,4.0,22.82305961084096,51.81408756792298,198.05781368821292,822.7405401126962,1020.7983538009091,-5.6,31.29,0.0,0.06020441279531911,0.9397955872046809,0.0
2.91,49.2,13.0,23.120017301031588,55.59909245886554,183.68907216494844,878.59927225068,1062.2883444156284,-4.88,31.96,0.0,0.0445516029627235,0.9554483970372766,0.0
3.19,50.3,4.0,23.875958619498398,59.26296285843736,178.7026332288401,922.2687670095692,1100.9714002384094,-6.06,32.66,0.0,0.06442042909763755,0.9355795709023624,0.0
3.46,53.7,4.19,24.785082206843697,62.538943240408024,177.5434393063584,952.8378964239816,1130.38133573034,-7.65,33.34,0.0,0.09526692401094383,0.9047330759890562,0.0
3.74,58.0,7.53,25.496902753079638,65.49191439616746,173.8214037433155,973.0210698596059,1146.8424736029215,-8.9,33.79,0.0,0.12184428343647644,0.8781557165635235,0.0
4.01,64.4,4.0,25.811874205489225,67.86031125845109,166.14784289276807,982.2366568812631,1148.3844997740312,-9.52,33.93,0.0,0.1360300372448688,0.8639699627551312,0.0
4.29,67.5,4.0,26.26069496414746,70.0274471096818,160.75153846153844,982.335489207292,1143.0870276688304,-10.37,34.12,0.0,0.15593553067533458,0.8440644693246655,0.0
4.57,71.3,4.0,25.926967620606927,71.58439706988999,147.0913894967177,974.2053071903005,1121.296696687018,-8.76,34.51,0.0,0.11415758211023039,0.8858424178897696,0.0
4.85,75.6,4.0,24.781810870071624,72.5737686270288,126.6264226804124,959.3430397380432,1085.9694624184556,1.41,34.99,0.0,0.0032372195083467774,0.9967627804916531,0.0
5.13,80.0,4.0,26.694884341386462,74.36991946342481,138.9116666666667,939.2335421045403,1078.145208771207,9.52,35.27,0.0,0.12717970393206388,0.8728202960679361,0.0
5.4,82.8,4.0,30.221001803381704,76.55488019731837,169.13128703703705,916.1742096344012,1085.3054966714383,17.13,35.21,0.0,0.32128985487331524,0.6787101451266847,0.0
5.68,84.8,15.7,34.59297905645017,79.05725365134005,210.68207746478873,889.678724452873,1100.3608019176618,23.98,35.26,0.0,0.48053212812643575,0.5194678718735642,0.0
5.86,86.3,16.8,37.03658056570558,80.49881141898666,234.0799146757679,871.7321399094842,1105.812054585252,27.31,35.38,0.0,0.5437279194126039,0.4562720805873961,0.0
6.36,90.2,8.07,44.33737644471084,84.76563308147081,309.08851415094335,820.6618870601475,1129.7504012110908,36.83,34.91,0.0,0.6900228224807579,0.3099771775192422,0.0
6.51,91.3,4.0,46.033316195990054,85.79793987391265,325.50940092165905,805.256572443553,1130.765973365212,39.02,34.54,0.0,0.7185053491957921,0.281494650804208,0.0
6.69,92.8,8.75,45.51625863359158,85.65383908198011,309.6756053811659,786.973146409827,1096.648751790993,38.64,34.02,0.0,0.7206777640597727,0.27932223594022737,0.0
