r_kpc,vobs_kms,e_vobs_kms,vbar_kms,vmodel_kms,gbar_kms2_per_kpc,gextra_kms2_per_kpc,gtot_kms2_per_kpc,vgas_kms,vdisk_kms,vbul_kms,frac_gas,frac_disk,frac_bul
0.12,6.48,2.6,1.689852064531094,1.689852064531094,23.79666666666667,0.0,23.79666666666667,-0.66,2.2,0.0,0.15254237288135591,0.8474576271186441,0.0
0.19,8.6,2.65,1.6521803775617239,2.811032570274332,14.366842105263158,27.222126900753256,41.58896900601641,0.47,2.24,0.0,0.08092464373374363,0.9190753562662565,0.0
0.26,10.2,3.03,2.6479425975651365,4.450670339240477,26.967692307692314,49.21871718690363,76.18640949459595,1.82,2.72,0.0,0.472417137315306,0.5275828626846939,0.0
0.33,11.7,3.55,3.7001891843526056,6.05236980557013,41.489090909090905,69.514485646597,111.0035765556879,3.08,2.9,0.0,0.6928728983157311,0.307127101684269,0.0
0.4,12.7,3.75,4.680085469305021,7.586982462347518,54.757999999999996,89.14775720992203,143.90575720992203,4.2,2.92,0.0,0.8053617736221192,0.19463822637788084,0.0
0.47,14.1,3.43,5.7352288533239895,9.159572131833514,69.98478723404256,108.52108859204498,178.50587582608753,5.32,3.03,0.0,0.8604423149711867,0.13955768502881324,0.0
0.55,16.0,3.33,7.080910958344273,11.043200479865924,91.16236363636364,130.56904879729268,221.73141243365632,6.65,3.44,0.0,0.8819927681479398,0.11800723185206013,0.0
0.62,18.1,2.66,8.386235746745973,12.776722090503025,113.43379032258063,149.86399577088386,263.2977860934645,7.97,3.69,0.0,0.9031970475885109,0.09680295241148916,0.0
0.69,21.2,3.78,9.63434221937336,14.4763937125966,134.52253623188406,169.19626800305275,303.7188042349368,9.25,3.81,0.0,0.9218055699950065,0.0781944300049935,0.0
0.76,21.6,3.33,10.729904473013727,16.076252769528757,151.48796052631576,188.57243830234347,340.06039882865923,10.36,3.95,0.0,0.9322401424118731,0.06775985758812691,0.0
0.83,23.3,3.09,11.946030721540943,17.75768591429729,171.93692771084338,207.98525184437642,379.9221795552198,11.58,4.15,0.0,0.9396581052242118,0.060341894775788135,0.0
0.9,24.5,3.26,12.761007013555004,19.17081802031507,180.93699999999998,227.41884840893002,408.35584840893,12.39,4.32,0.0,0.942698287249153,0.057301712750846986,0.0
0.97,24.4,3.29,13.474264358398196,20.51833399063382,187.17092783505151,246.85178324865905,434.02271108371053,13.1,4.46,0.0,0.9452190456047121,0.05478095439528785,0.0
1.04,25.3,2.78,14.085685996784113,21.801738239395288,190.7755288461539,266.2588848645294,457.03441371068334,13.71,4.57,0.0,0.9473684210526315,0.05263157894736842,0.0
1.11,25.4,2.78,14.601590666773262,23.026860070544032,192.07788288288288,285.6124637012748,477.6903465841577,14.22,4.69,0.0,0.948415960211335,0.05158403978866493,0.0
1.19,25.9,2.73,15.020151463950024,24.324475509481978,189.5839915966387,307.6261838751164,497.21017547175506,14.63,4.81,0.0,0.9487243076891708,0.05127569231082916,0.0
1.26,26.7,2.67,15.226164980059817,25.368480488407883,183.99690476190474,326.76484308788207,510.76174784978684,14.83,4.88,0.0,0.9486395777016609,0.05136042229833922,0.0
1.33,27.1,3.16,15.43217904250725,26.419797351427956,179.0617669172932,345.75454292520277,524.8163098424959,15.03,4.95,0.0,0.9485570464091968,0.0514429535908032,0.0
1.4,28.6,3.34,15.542437067590141,27.421830418838212,172.5481071428572,364.56388108537186,537.111988228229,15.13,5.03,0.0,0.9476317888158312,0.05236821118416872,0.0
1.48,28.9,3.21,15.65923529422813,28.569070097902696,165.68354729729728,385.79737585059326,551.4809231478905,15.24,5.09,0.0,0.9471719634854217,0.05282803651457832,0.0
1.55,30.4,4.14,15.76305966492546,29.577905071755787,160.3058387096774,404.11510866696557,564.420947376643,15.34,5.13,0.0,0.9470429608242793,0.05295703917572077,0.0
1.62,30.8,4.35,15.964211537060011,30.638985480264544,157.31854938271601,422.1551736171985,579.4737229999146,15.54,5.17,0.0,0.9475607897085433,0.05243921029145669,0.0
1.69,30.5,4.56,15.970712257128671,31.598639740088352,150.92523668639052,439.887800842539,590.8130375289295,15.54,5.21,0.0,0.9467895562538998,0.05321044374610024,0.0
1.75,33.0,4.04,15.972344849770806,32.419964410557384,145.78045714285713,454.8218813610328,600.60233850389,15.54,5.22,0.0,0.9465960163972595,0.0534039836027404,0.0
1.83,32.1,4.35,16.074540428889406,33.56170465251542,141.19718579234973,474.31539299599723,615.5125787883469,15.64,5.25,0.0,0.9466651005637391,0.053334899436261,0.0
1.9,32.9,4.36,16.079452727005357,34.516173238853305,136.0783157894737,490.95653423922784,627.0348500287015,15.64,5.28,0.0,0.9460867735607359,0.05391322643926408,0.0
1.97,34.2,4.9,16.082742303475488,35.465499548474746,131.29675126903555,507.1812478288641,638.4779990978997,15.64,5.3,0.0,0.9456997865106594,0.05430021348934061,0.0
2.04,32.6,3.98,16.08439150232299,36.40820156181186,126.81747549019607,522.9654367478037,649.7829122379998,15.64,5.31,0.0,0.9455058634717606,0.05449413652823949,0.0
2.11,33.7,4.73,16.184932808016224,37.38631437165562,124.14789099526067,538.2864702825894,662.4343612778501,15.74,5.33,0.0,0.9457746179119424,0.05422538208805772,0.0
2.19,33.8,4.67,16.091017680681357,38.40324533324593,118.228698630137,555.2001836189385,673.4288822490755,15.64,5.35,0.0,0.9447273172477226,0.05527268275227737,0.0
2.26,34.9,3.74,16.092681566476113,39.31861847015109,114.59044247787614,569.4598930979232,684.0503355757994,15.64,5.36,0.0,0.9445319691830543,0.05546803081694561,0.0
2.33,36.1,5.47,16.097690828190235,40.22414294850773,111.217017167382,583.1957192884053,694.4127364557872,15.64,5.39,0.0,0.9439442238071063,0.05605577619289355,0.0
2.4,37.2,5.39,15.714509219189761,40.966892337848826,102.89408333333333,596.3918615920404,699.2859449253738,15.24,5.42,0.0,0.9405205514732383,0.05947944852676174,0.0
2.48,37.6,7.1,15.234759597709443,41.79549923474484,93.58786290322581,610.7926839844984,704.3805468877242,14.73,5.5,0.0,0.9348335336080162,0.06516646639198373,0.0
2.55,35.6,4.73,14.734795553383156,42.48790736579347,85.14282352941177,622.7874793428418,707.9303028722536,14.22,5.46,0.0,0.9313458078743814,0.06865419212561867,0.0
2.62,38.3,7.78,14.300256990697754,43.19853401661023,78.05242366412214,634.2045767878744,712.2570004519965,13.81,5.25,0.0,0.9326091511699296,0.0673908488300704,0.0
