x,y,controls,n,pearson_partial,spearman_partial
frac_disk_rt,r_t_kpc,sparc_L36_1e9solLum,175,-0.35437670221532414,-0.6735297482396732
frac_gas_rt,r_t_kpc,sparc_L36_1e9solLum,175,0.18727684792956328,0.6705938434793196
frac_disk_half_rt,r_t_kpc,sparc_L36_1e9solLum,175,-0.33413475008548327,-0.5218587610130582
frac_gas_half_rt,r_t_kpc,sparc_L36_1e9solLum,175,0.10476080234217958,0.4206949582649492
frac_gas_rt,outer_chi2,sparc_L36_1e9solLum,175,-0.15848989812375433,-0.41329107983918406
frac_bul_peak,r_t_kpc,sparc_L36_1e9solLum,175,0.422927863435743,0.3284091414081025
frac_bul_half_rt,r_t_kpc,sparc_L36_1e9solLum,175,0.3313153259988681,0.3220416225939658
frac_bul_rt,r_t_kpc,sparc_L36_1e9solLum,175,0.323083062661443,0.32166055427046975
frac_gas_half_rt,outer_chi2,sparc_L36_1e9solLum,175,-0.13482215723932986,-0.314782713631079
sparc_Rdisk_kpc,r_t_kpc,sparc_L36_1e9solLum,175,0.09681518886337763,0.2772521773680674
sparc_SBeff_solLum_pc2,outer_resid_rms_z,sparc_L36_1e9solLum,153,0.10072834142928438,0.2705907564512228
frac_disk_rt,outer_chi2,sparc_L36_1e9solLum,175,0.07445696386802018,0.25229418134442605
sparc_SBeff_solLum_pc2,outer_chi2,sparc_L36_1e9solLum,175,0.0608808412376747,0.2520195191608507
sparc_T,v_extra_asym_kms,sparc_L36_1e9solLum,175,-0.5627517760301456,-0.25074170345336094
sparc_T,q_best_kms2,sparc_L36_1e9solLum,175,-0.3675902244061038,-0.25074170345336094
sparc_SBdisk_solLum_pc2,r_t_kpc,sparc_L36_1e9solLum,175,0.18819127187821857,-0.23878710820013516
frac_bul_peak,v_extra_asym_kms,sparc_L36_1e9solLum,175,0.3916443147198483,0.23403854151178044
frac_bul_peak,q_best_kms2,sparc_L36_1e9solLum,175,0.3738247405934997,0.23403854151178044
frac_bul_peak,chi2_red,sparc_L36_1e9solLum,175,0.20940944200296463,0.23370975429340626
sparc_SBdisk_solLum_pc2,chi2_red,sparc_L36_1e9solLum,175,0.04680766513138577,0.23207524500521787
frac_bul_half_rt,chi2_red,sparc_L36_1e9solLum,175,0.119238752308002,0.2319535158703222
sparc_MHI_1e9solMass,outer_chi2,sparc_L36_1e9solLum,175,0.11332306822272534,0.2301448400284386
frac_bul_rt,chi2_red,sparc_L36_1e9solLum,175,0.10773358836169451,0.22934432336285074
frac_bul_half_rt,v_extra_asym_kms,sparc_L36_1e9solLum,175,0.3382766743524864,0.22823941167874592
frac_bul_half_rt,q_best_kms2,sparc_L36_1e9solLum,175,0.30453867125296447,0.22823941167874592
frac_bul_rt,v_extra_asym_kms,sparc_L36_1e9solLum,175,0.31678311870762327,0.22815949259629004
frac_bul_rt,q_best_kms2,sparc_L36_1e9solLum,175,0.2824740934666529,0.22815949259629004
sparc_SBeff_solLum_pc2,r_t_kpc,sparc_L36_1e9solLum,175,0.46155312504412427,-0.22478643510579988
sparc_SBdisk_solLum_pc2,outer_chi2,sparc_L36_1e9solLum,175,-0.011851454516511352,0.20696054923300483
sparc_T,chi2_red,sparc_L36_1e9solLum,175,-0.09669414257992236,-0.20518877047736675
sparc_SBeff_solLum_pc2,outer_resid_mean_z,sparc_L36_1e9solLum,153,-0.12173984661193245,-0.19731036654910653
frac_disk_half_rt,q_best_kms2,sparc_L36_1e9solLum,175,-0.15179365248242088,-0.19726271121312575
frac_disk_half_rt,v_extra_asym_kms,sparc_L36_1e9solLum,175,-0.09009617613612611,-0.19726271121312575
frac_disk_rt,q_best_kms2,sparc_L36_1e9solLum,175,-0.04860667837742697,-0.1943668555390733
frac_disk_rt,v_extra_asym_kms,sparc_L36_1e9solLum,175,0.0427683711472513,-0.1943668555390733
sparc_SBeff_solLum_pc2,v_extra_asym_kms,sparc_L36_1e9solLum,175,0.4576958006209362,0.19396672542156346
sparc_SBeff_solLum_pc2,q_best_kms2,sparc_L36_1e9solLum,175,0.36975795554028534,0.19396672542156346
frac_disk_rt,chi2_red,sparc_L36_1e9solLum,175,-0.21277843787889203,-0.18393676977883722
sparc_SBeff_solLum_pc2,chi2_red,sparc_L36_1e9solLum,175,0.14740562977781832,0.18320554376477297
frac_disk_half_rt,chi2_red,sparc_L36_1e9solLum,175,-0.18792644515402512,-0.18160587045846682
sparc_T,outer_resid_rms_z,sparc_L36_1e9solLum,153,-0.1497217510547043,-0.18152967772489215
sparc_Rdisk_kpc,chi2_red,sparc_L36_1e9solLum,175,-0.16998161903914455,-0.18014653391862134
frac_gas_half_rt,outer_resid_rms_z,sparc_L36_1e9solLum,153,-0.105764497210064,-0.1788762053186628
sparc_SBdisk_solLum_pc2,outer_resid_rms_z,sparc_L36_1e9solLum,153,-0.05938958549973931,0.17475870182391123
sparc_Rdisk_kpc,outer_resid_rms_z,sparc_L36_1e9solLum,153,-0.08988127195797307,-0.17051629904829776
frac_gas_rt,outer_resid_mean_z,sparc_L36_1e9solLum,153,0.13465945445360525,0.16669754018529734
sparc_Rdisk_kpc,outer_chi2,sparc_L36_1e9solLum,175,-0.008554764605305546,-0.1583680569332807
frac_disk_half_rt,outer_chi2,sparc_L36_1e9solLum,175,0.00707073584122349,0.15489903189246107
frac_gas_half_rt,outer_resid_mean_z,sparc_L36_1e9solLum,153,0.04107915028565414,0.152613063383321
frac_gas_rt,outer_resid_rms_z,sparc_L36_1e9solLum,153,-0.08395165453078418,-0.13983922129271797
frac_bul_half_rt,outer_resid_rms_z,sparc_L36_1e9solLum,153,0.15067510227892508,0.1385068833434089
frac_bul_rt,outer_resid_rms_z,sparc_L36_1e9solLum,153,0.15176752009921804,0.1379225091806612
sparc_SBdisk_solLum_pc2,v_extra_asym_kms,sparc_L36_1e9solLum,175,0.21251960112070176,0.13398978679462806
sparc_SBdisk_solLum_pc2,q_best_kms2,sparc_L36_1e9solLum,175,0.10644944176027511,0.13398978679462806
frac_bul_peak,outer_resid_rms_z,sparc_L36_1e9solLum,153,0.10314949777305873,0.12599716906139874
sparc_MHI_1e9solMass,outer_resid_mean_z,sparc_L36_1e9solLum,153,-0.034089818478703224,-0.12446603055719174
sparc_MHI_1e9solMass,v_extra_asym_kms,sparc_L36_1e9solLum,175,0.08698508642532407,0.12232254858386277
sparc_MHI_1e9solMass,q_best_kms2,sparc_L36_1e9solLum,175,-0.03943008458577661,0.12232254858386277
sparc_Rdisk_kpc,outer_resid_mean_z,sparc_L36_1e9solLum,153,0.12805232990900792,0.1220364044792674
sparc_T,outer_chi2,sparc_L36_1e9solLum,175,-0.18519990221573288,-0.11095930841405141
frac_disk_rt,outer_resid_mean_z,sparc_L36_1e9solLum,153,-0.10289561809633316,-0.107216861712613
sparc_SBdisk_solLum_pc2,outer_resid_mean_z,sparc_L36_1e9solLum,153,-0.057314654182889446,-0.08552809456081768
frac_gas_half_rt,chi2_red,sparc_L36_1e9solLum,175,0.13469152825375386,-0.05988637145108824
frac_disk_half_rt,outer_resid_mean_z,sparc_L36_1e9solLum,153,-0.03296985046848954,-0.057353770374513356
frac_gas_rt,v_extra_asym_kms,sparc_L36_1e9solLum,175,-0.26622722738007615,0.04615986408626241
frac_gas_rt,q_best_kms2,sparc_L36_1e9solLum,175,-0.1373985918673847,0.04615986408626241
sparc_MHI_1e9solMass,chi2_red,sparc_L36_1e9solLum,175,-0.1601450994877468,-0.038401679586878956
sparc_Rdisk_kpc,q_best_kms2,sparc_L36_1e9solLum,175,-0.0929711443431067,-0.03441623329996513
sparc_Rdisk_kpc,v_extra_asym_kms,sparc_L36_1e9solLum,175,0.042833312902464345,-0.03441623329996513
frac_bul_half_rt,outer_resid_mean_z,sparc_L36_1e9solLum,153,0.007554378387789108,-0.03086582496859633
