x,y,controls,n,pearson_partial,spearman_partial
frac_disk_rt,r_t_kpc,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,-0.3543166399404331,-0.6571830660648392
frac_gas_rt,r_t_kpc,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,0.19529635955424665,0.6471153496271616
frac_disk_half_rt,r_t_kpc,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,-0.3299751830800233,-0.5001102084488532
frac_gas_rt,outer_chi2,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,-0.15945869161512566,-0.3912689373067712
frac_bul_peak,r_t_kpc,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,0.41616402546700126,0.3722508761294641
frac_gas_half_rt,r_t_kpc,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,0.11059219803962245,0.3641087330625319
frac_bul_half_rt,r_t_kpc,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,0.32288969467746653,0.3638501076900765
frac_bul_rt,r_t_kpc,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,0.3145626291149097,0.36371943998253203
sparc_MHI_1e9solMass,outer_chi2,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,0.1284504564214277,0.3448722240354635
frac_gas_half_rt,outer_chi2,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,-0.13547490450845853,-0.28209585553097893
sparc_T,v_extra_asym_kms,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,-0.5616794799712155,-0.2491272445444259
sparc_T,q_best_kms2,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,-0.37895888850037585,-0.2491272445444259
frac_bul_peak,q_best_kms2,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,0.38975868702815625,0.23190572017731848
frac_bul_peak,v_extra_asym_kms,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,0.3896846852098661,0.23190572017731848
frac_disk_rt,outer_chi2,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,0.07431463248637876,0.2285019977586753
sparc_SBeff_solLum_pc2,v_extra_asym_kms,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,0.4619821798657664,0.22775832615509994
sparc_SBeff_solLum_pc2,q_best_kms2,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,0.3659742950148152,0.22775832615509994
frac_disk_rt,chi2_red,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,-0.2191371245178723,-0.22732513566438503
frac_bul_half_rt,v_extra_asym_kms,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,0.3358663321735261,0.22614172085331818
frac_bul_half_rt,q_best_kms2,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,0.32093426000226866,0.22614172085331818
frac_bul_rt,v_extra_asym_kms,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,0.31416483833297154,0.2260505863308341
frac_bul_rt,q_best_kms2,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,0.29853988551993077,0.2260505863308341
frac_bul_peak,chi2_red,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,0.23531012107772908,0.22052671055665748
