x,y,controls,n,pearson_partial,spearman_partial
sparc_Rdisk_kpc,r_t_kpc,sparc_Vflat_kms,175,0.4819945783243443,0.4937827388735314
frac_disk_rt,r_t_kpc,sparc_Vflat_kms,175,-0.38648525310115456,-0.49063680795675946
sparc_L36_1e9solLum,q_best_kms2,sparc_Vflat_kms,175,0.3740959710512188,0.4698889387097828
sparc_L36_1e9solLum,v_extra_asym_kms,sparc_Vflat_kms,175,0.32270117726188746,0.4698889387097828
sparc_L36_1e9solLum,r_t_kpc,sparc_Vflat_kms,175,0.6406343556044137,0.46425283543833623
sparc_MHI_1e9solMass,v_extra_asym_kms,sparc_Vflat_kms,175,0.24597530117624472,0.40100865188104867
sparc_MHI_1e9solMass,q_best_kms2,sparc_Vflat_kms,175,0.16576332509541514,0.40100865188104867
frac_bul_peak,r_t_kpc,sparc_Vflat_kms,175,0.43542223902068855,0.3966292772552999
frac_bul_half_rt,r_t_kpc,sparc_Vflat_kms,175,0.3414023036096241,0.39198696495380075
frac_bul_rt,r_t_kpc,sparc_Vflat_kms,175,0.31002778778612755,0.3915161314424449
sparc_T,v_extra_asym_kms,sparc_Vflat_kms,175,-0.23464604921619683,-0.3821263562202642
sparc_T,q_best_kms2,sparc_Vflat_kms,175,-0.09157385645473812,-0.3821263562202642
frac_disk_half_rt,r_t_kpc,sparc_Vflat_kms,175,-0.3614699725533773,-0.3787583302488158
frac_gas_rt,r_t_kpc,sparc_Vflat_kms,175,0.25709486177539065,0.3641479367235009
sparc_Rdisk_kpc,v_extra_asym_kms,sparc_Vflat_kms,175,0.33551263602903386,0.3579022879449439
sparc_Rdisk_kpc,q_best_kms2,sparc_Vflat_kms,175,0.21463116931305953,0.3579022879449439
sparc_MHI_1e9solMass,r_t_kpc,sparc_Vflat_kms,175,0.3046600575573071,0.33190362716925587
frac_gas_rt,outer_chi2,sparc_Vflat_kms,175,-0.09363748078353809,-0.3297168644658497
sparc_T,r_t_kpc,sparc_Vflat_kms,175,-0.24792331489134503,-0.2951469888761139
frac_disk_rt,outer_chi2,sparc_Vflat_kms,175,0.057309532282606546,0.2507944581956681
frac_bul_peak,q_best_kms2,sparc_Vflat_kms,175,0.32290612732166163,0.24631475597170457
frac_bul_peak,v_extra_asym_kms,sparc_Vflat_kms,175,0.3176415701064326,0.24631475597170457
frac_bul_rt,v_extra_asym_kms,sparc_Vflat_kms,175,0.21074981074582774,0.24320581374290776
frac_bul_rt,q_best_kms2,sparc_Vflat_kms,175,0.20511734750192093,0.24320581374290776
frac_bul_half_rt,v_extra_asym_kms,sparc_Vflat_kms,175,0.24725461593130166,0.24296325164326335
frac_bul_half_rt,q_best_kms2,sparc_Vflat_kms,175,0.24111486529126877,0.24296325164326335
sparc_SBeff_solLum_pc2,v_extra_asym_kms,sparc_Vflat_kms,175,0.19626637279906914,0.22498358166783872
sparc_SBeff_solLum_pc2,q_best_kms2,sparc_Vflat_kms,175,0.15885333020776538,0.22498358166783872
frac_gas_half_rt,outer_chi2,sparc_Vflat_kms,175,-0.07641039078666437,-0.2220391303469348
frac_bul_peak,chi2_red,sparc_Vflat_kms,175,0.19006561139630734,0.19279586923193962
frac_bul_half_rt,chi2_red,sparc_Vflat_kms,175,0.09782260220138603,0.19132772269409215
frac_bul_rt,chi2_red,sparc_Vflat_kms,175,0.08558823076207059,0.18884227050511485
frac_disk_rt,chi2_red,sparc_Vflat_kms,175,-0.23919303929130858,-0.17878201399808333
sparc_Rdisk_kpc,outer_resid_rms_z,sparc_Vflat_kms,153,-0.08175930638464626,-0.1706461487981872
frac_disk_half_rt,outer_chi2,sparc_Vflat_kms,175,0.02836570366220734,0.1699917208867239
frac_disk_half_rt,chi2_red,sparc_Vflat_kms,175,-0.19288990442612905,-0.16610092600908705
sparc_SBdisk_solLum_pc2,chi2_red,sparc_Vflat_kms,175,0.01229127260882212,0.160314010287082
sparc_SBeff_solLum_pc2,outer_resid_rms_z,sparc_Vflat_kms,153,0.03211859682082763,0.1544415006145497
sparc_SBeff_solLum_pc2,outer_resid_mean_z,sparc_Vflat_kms,153,-0.10328903068430574,-0.14923147194923034
frac_gas_half_rt,q_best_kms2,sparc_Vflat_kms,175,0.07207432580235193,-0.13740778896803021
frac_gas_half_rt,v_extra_asym_kms,sparc_Vflat_kms,175,-0.008222112185269493,-0.13740778896803021
sparc_Rdisk_kpc,outer_chi2,sparc_Vflat_kms,175,-0.08153697224332618,-0.13687826616908452
frac_gas_rt,outer_resid_mean_z,sparc_Vflat_kms,153,0.10784346833999532,0.13366189326692168
sparc_SBeff_solLum_pc2,outer_chi2,sparc_Vflat_kms,175,-0.043079082787555185,0.13247117908309664
frac_gas_half_rt,r_t_kpc,sparc_Vflat_kms,175,0.1585501826599408,0.12422933110645891
sparc_SBdisk_solLum_pc2,r_t_kpc,sparc_Vflat_kms,175,0.10771324914245721,-0.11968942707734695
sparc_Rdisk_kpc,chi2_red,sparc_Vflat_kms,175,-0.10040619869312863,-0.11893729365178884
sparc_MHI_1e9solMass,outer_chi2,sparc_Vflat_kms,175,-0.003673629385578858,0.11734881373592503
sparc_T,chi2_red,sparc_Vflat_kms,175,-0.04142303861564006,-0.11672151673157741
frac_gas_half_rt,outer_resid_mean_z,sparc_Vflat_kms,153,0.0130005705350396,0.11382099674892232
sparc_L36_1e9solLum,outer_resid_rms_z,sparc_Vflat_kms,153,-0.04734713379397528,-0.10807923826202338
frac_disk_rt,outer_resid_mean_z,sparc_Vflat_kms,153,-0.07933289205132064,-0.10632840286111066
sparc_SBdisk_solLum_pc2,outer_chi2,sparc_Vflat_kms,175,-0.08524273608945149,0.10556365484401795
