x,y,controls,n,pearson_partial,spearman_partial
frac_disk_rt,r_t_kpc,sparc_Vflat_kms+sparc_Rdisk_kpc,175,-0.39246449171480574,-0.5562043766797947
frac_gas_rt,r_t_kpc,sparc_Vflat_kms+sparc_Rdisk_kpc,175,0.31442074545707127,0.4863090011951783
frac_disk_half_rt,r_t_kpc,sparc_Vflat_kms+sparc_Rdisk_kpc,175,-0.3309895430681622,-0.4194342044104493
frac_bul_peak,r_t_kpc,sparc_Vflat_kms+sparc_Rdisk_kpc,175,0.36916749350429845,0.4003519944894988
frac_bul_half_rt,r_t_kpc,sparc_Vflat_kms+sparc_Rdisk_kpc,175,0.26679369455583646,0.39200339667199113
frac_bul_rt,r_t_kpc,sparc_Vflat_kms+sparc_Rdisk_kpc,175,0.24363919721051927,0.39191037795231787
frac_gas_rt,outer_chi2,sparc_Vflat_kms+sparc_Rdisk_kpc,175,-0.09710796944666504,-0.35078733892773684
sparc_L36_1e9solLum,q_best_kms2,sparc_Vflat_kms+sparc_Rdisk_kpc,175,0.3159774604124564,0.33216944415470456
sparc_L36_1e9solLum,v_extra_asym_kms,sparc_Vflat_kms+sparc_Rdisk_kpc,175,0.1465086120556287,0.33216944415470456
sparc_MHI_1e9solMass,outer_chi2,sparc_Vflat_kms+sparc_Rdisk_kpc,175,0.06450053798444648,0.3093959318293356
sparc_T,v_extra_asym_kms,sparc_Vflat_kms+sparc_Rdisk_kpc,175,-0.18259805028067763,-0.30653268780203263
sparc_T,q_best_kms2,sparc_Vflat_kms+sparc_Rdisk_kpc,175,-0.051542377540887,-0.30653268780203263
sparc_SBeff_solLum_pc2,v_extra_asym_kms,sparc_Vflat_kms+sparc_Rdisk_kpc,175,0.21391583702413536,0.2988071209666492
sparc_SBeff_solLum_pc2,q_best_kms2,sparc_Vflat_kms+sparc_Rdisk_kpc,175,0.16608645897244262,0.2988071209666492
frac_disk_rt,outer_chi2,sparc_Vflat_kms+sparc_Rdisk_kpc,175,0.050233360926589796,0.25123873346798886
frac_gas_half_rt,outer_chi2,sparc_Vflat_kms+sparc_Rdisk_kpc,175,-0.07972567465356688,-0.2392973365643989
frac_bul_peak,q_best_kms2,sparc_Vflat_kms+sparc_Rdisk_kpc,175,0.28405535791906794,0.22591884198881534
frac_bul_peak,v_extra_asym_kms,sparc_Vflat_kms+sparc_Rdisk_kpc,175,0.2549764118871943,0.22591884198881534
sparc_MHI_1e9solMass,v_extra_asym_kms,sparc_Vflat_kms+sparc_Rdisk_kpc,175,0.04042950332564844,0.22275207187622462
sparc_MHI_1e9solMass,q_best_kms2,sparc_Vflat_kms+sparc_Rdisk_kpc,175,0.036232627454033724,0.22275207187622462
frac_bul_rt,q_best_kms2,sparc_Vflat_kms+sparc_Rdisk_kpc,175,0.16755837563262574,0.2208415733029365
frac_bul_rt,v_extra_asym_kms,sparc_Vflat_kms+sparc_Rdisk_kpc,175,0.1522461816470828,0.2208415733029365
frac_bul_half_rt,q_best_kms2,sparc_Vflat_kms+sparc_Rdisk_kpc,175,0.20046937810225865,0.22027142633552807
frac_bul_half_rt,v_extra_asym_kms,sparc_Vflat_kms+sparc_Rdisk_kpc,175,0.18322686250256315,0.22027142633552807
sparc_L36_1e9solLum,r_t_kpc,sparc_Vflat_kms+sparc_Rdisk_kpc,175,0.49182906479834165,0.20772377422857854
frac_bul_peak,chi2_red,sparc_Vflat_kms+sparc_Rdisk_kpc,175,0.22407210603305647,0.20745571616322186
frac_bul_half_rt,chi2_red,sparc_Vflat_kms+sparc_Rdisk_kpc,175,0.12584413583230783,0.206770998058901
frac_bul_rt,chi2_red,sparc_Vflat_kms+sparc_Rdisk_kpc,175,0.10968942139355992,0.20413138759312624
sparc_MHI_1e9solMass,outer_resid_mean_z,sparc_Vflat_kms+sparc_Rdisk_kpc,153,-0.13130883982329764,-0.20324257463079157
