galaxy,q_est_kms2,huber_scale_kms2,outer_rule,n_total,n_outer,rmax_kpc,rmin_outer_kpc
CamB,42.98816338841357,93.79557705000009,lastfrac,9,5,1.79,0.9
D512-2,913.2354086038904,191.54324679000004,lastfrac,4,4,3.83,0.96
D564-8,386.79357131747315,146.26427214000003,lastfrac,6,5,3.07,1.02
D631-7,2874.305043402973,131.83153179000092,rfrac,16,7,7.19,4.49
DDO064,1565.3124615170698,7.203656879999624,rfrac,14,5,2.98,1.88
DDO154,1897.3138,145.65284790000112,rfrac,12,5,5.92,3.95
DDO161,3217.9069103013444,237.8735330999991,rfrac,31,12,13.37,8.16
DDO168,2178.1929067190695,110.41441110000008,lastfrac,10,5,4.12,2.47
DDO170,2632.509041743061,277.0681397399998,lastfrac,8,5,12.33,6.35
ESO079-G014,20213.97366,2099.4601929000064,rfrac,15,5,16.67,10.04
ESO116-G012,9630.030581297078,387.12279794999836,rfrac,15,6,9.86,6.05
ESO444-G084,2888.30604,1103.8027423500007,lastfrac,7,5,4.44,1.29
ESO563-G021,72282.96302499999,7710.992221799992,rfrac,30,10,42.41,27.06
F561-1,810.74873,271.6263305700004,lastfrac,6,5,9.66,3.23
F563-1,11095.803453861088,165.88218360000062,rfrac,17,5,20.1,14.56
F563-V1,237.69647601601773,105.81175352999993,lastfrac,6,5,7.87,2.63
F563-V2,11566.717710873529,107.55484635000137,lastfrac,10,5,10.47,4.76
F565-V2,4754.259722715538,902.7854591700008,lastfrac,7,5,8.8,3.78
F567-2,1526.9550663196583,102.14002050000056,lastfrac,5,5,9.59,1.92
F568-1,14444.159070161977,777.0192439800003,lastfrac,12,5,13.23,7.48
F568-3,8025.070132925791,1734.893337764999,lastfrac,18,8,17.98,5.39
F568-V1,11042.800545314753,326.5983586950004,lastfrac,15,6,17.63,7.44
F571-8,13894.4861,5445.057472470001,lastfrac,13,6,15.55,5.44
F571-V1,5223.531169756055,639.8341918500013,lastfrac,7,5,13.59,5.83
F574-1,7789.550340937908,67.97624630999994,rfrac,14,6,12.6,7.99
F574-2,94.10470288146826,67.51330446000019,lastfrac,5,5,10.83,2.17
F579-V1,9586.837122147926,198.9774850350005,lastfrac,14,6,15.16,7.37
F583-1,5120.07891016573,719.6540770649998,lastfrac,25,10,16.26,4.76
F583-4,3217.708388999229,451.41711835500047,rfrac,12,6,7.29,5.0
IC2574,2700.8669400000003,835.5415431300002,rfrac,34,15,10.23,6.26
IC4202,33084.718827796525,3135.187228719002,rfrac,32,12,25.9,15.75
KK98-251,712.07689,117.62155209000035,rfrac,15,5,3.13,1.89
NGC0024,8663.767955801195,951.0582479999999,lastfrac,29,12,11.27,2.02
NGC0055,5025.480980703516,240.41589558000007,rfrac,21,9,13.5,8.59
NGC0100,6203.306406128609,798.7564950749984,rfrac,21,8,9.62,6.16
NGC0247,8120.308475803904,663.0293947199983,rfrac,26,11,14.54,9.14
NGC0289,22564.571970569374,1752.7381708199978,rfrac,28,10,71.12,43.88
NGC0300,7109.225394190399,776.0895055200008,rfrac,25,11,11.8,7.26
NGC0801,24974.846341666664,5234.764673039997,lastfrac,13,6,59.82,24.61
NGC0891,20015.84796875,1430.8438795350041,rfrac,18,8,17.11,10.64
NGC1003,10640.499566666667,777.4981237800008,rfrac,36,15,30.24,18.65
NGC1090,17271.13943995257,363.2524190399934,rfrac,24,10,30.09,18.8
NGC1705,4686.109569806081,43.740332369999926,rfrac,14,6,6.0,3.78
