galaxy,n,sigma_kpc,ups_disk,ups_bul,a0_kms2_per_kpc,r_t_kpc,r_near_half_rt_kpc,frac_gas_half_rt,frac_disk_half_rt,frac_bul_half_rt,r_near_rt_kpc,frac_gas_rt,frac_disk_rt,frac_bul_rt,frac_bul_peak,r_bul_peak_kpc,q_best_kms2,v_extra_asym_kms,chi2,chi2_red,gbar_inner_kms2_per_kpc,gbar_rt_kms2_per_kpc,gbar_half_rt_kms2_per_kpc,gbar_1kpc_kms2_per_kpc,gbar_2kpc_kms2_per_kpc,s_in_dlng_dlnr,vobs_outer_kms,outer_resid_mean_z,outer_resid_rms_z,outer_chi2,sparc_T,sparc_D_mpc,sparc_e_D_mpc,sparc_Inc_deg,sparc_e_Inc_deg,sparc_L36_1e9solLum,sparc_e_L36_1e9solLum,sparc_Reff_kpc,sparc_SBeff_solLum_pc2,sparc_Rdisk_kpc,sparc_SBdisk_solLum_pc2,sparc_MHI_1e9solMass,sparc_RHI_kpc,sparc_Vflat_kms,sparc_e_Vflat_kms,sparc_Q_flag,env_twompp_delta_external,env_twompp_in_twompp_grid
CamB,9,2.0,0.5,0.7,3702.813097789641,0.73,0.41,0.28618526044663917,0.7138147395533608,0.0,0.73,0.3274899054748017,0.6725100945251983,0.0,0.0,0.16,111.33125094166726,10.551362515887096,31.312897184756395,3.9141121480945493,65.5678125,191.71520547945198,137.96163303178415,180.94454746900726,nan,0.17103684400715574,14.7,-1.3582471400699834,1.736890518577875,6.0335773470514384,10.0,3.36,0.26,65.0,5.0,0.075,0.003,1.21,7.89,0.47,66.2,0.012,1.21,0.0,0.0,2.0,0.12377071061464345,True
D512-2,4,2.0,0.5,0.7,3702.813097789641,1.92,0.96,0.13116939758950702,0.8688306024104929,0.0,1.92,0.14768244875171435,0.8523175512482857,0.0,0.0,0.96,1999.6314101092967,44.7172383998531,28.42568076978233,9.475226923260776,132.19546875,137.32166666666672,132.19546875,132.49199511639532,131.98909929878863,-0.98071907416151,35.9,nan,nan,0.0,10.0,15.2,4.56,56.0,10.0,0.325,0.022,2.37,9.22,1.24,93.94,0.081,0.0,0.0,0.0,2.0,3.592020229118757,True
D564-8,6,2.0,0.5,0.7,3702.813097789641,1.02,0.51,0.3731795683961606,0.6268204316038394,0.0,1.02,0.43104722281649666,0.5689527771835033,0.0,0.0,0.51,723.1871106457618,26.892138454309688,15.002745672408212,3.000549134481642,63.266078431372556,64.61441176470589,63.26607843137255,64.57549515508025,42.53572603558589,-0.8345507081684511,21.9,0.5532380311168439,1.0205491012341987,3.1245614040897927,10.0,8.79,0.28,63.0,7.0,0.033,0.004,0.72,10.11,0.61,21.13,0.029,0.0,0.0,0.0,2.0,1.509036742599138,True
D631-7,16,2.0,0.5,0.7,3702.813097789641,1.35,0.9,0.6024654462225946,0.3975345537774055,0.0,1.35,0.5641220861412342,0.43587791385876584,0.0,0.0,0.45,2630.732736634914,51.290669099115036,15.430699634849569,1.0287133089899714,267.68899999999996,366.20651851851864,306.0818115273956,344.0677757983591,293.053927246521,-0.3829738433507894,57.7,-0.3612844600055422,0.9159926169209549,8.390424742536993,10.0,7.72,0.18,59.0,3.0,0.196,0.009,1.22,20.93,0.7,115.04,0.29,0.0,57.7,2.7,1.0,0.6181199386485224,True
DDO064,14,2.0,0.5,0.7,3702.813097789641,1.88,0.89,0.029532208932207416,0.9704677910677926,0.0,1.88,0.6333609504593316,0.3666390495406684,0.0,0.0,0.1,3482.7902307492527,59.015169496912,16.53334255028358,1.2717955807910448,31.976999999999993,276.9635106382979,136.46752756709787,140.44879678998657,274.6180477446927,0.4445869852460704,46.4,nan,nan,0.0,10.0,6.8,2.04,60.0,5.0,0.157,0.007,1.2,17.41,0.69,151.65,0.211,3.49,46.1,3.9,1.0,1.4892751674266456,True
DDO154,12,2.0,0.5,0.7,3702.813097789641,0.49,0.49,0.15584088578267777,0.8441591142173223,0.0,0.49,0.15584088578267777,0.8441591142173223,0.0,0.0,0.49,2262.6552757705276,47.56737617075938,229.953828842961,20.904893531178274,183.17479591836735,183.17479591836738,nan,162.40875264315767,122.83113478077817,-0.42341741367484503,47.4,-0.9535489192763861,4.498922919330144,222.64338177481466,10.0,4.04,0.2,64.0,3.0,0.053,0.002,0.65,19.99,0.37,71.26,0.275,4.96,47.0,1.0,2.0,1.1243400523997482,True
DDO161,31,2.0,0.5,0.7,3702.813097789641,2.02,0.98,0.427405127768253,0.572594872231747,0.0,2.02,0.530742757795635,0.46925724220436504,0.0,0.0,0.6,2932.895499355024,54.1562138572761,263.1617346181288,8.772057820604292,209.61075,327.56970297029704,262.74289555700693,261.4096177625247,327.0584898188526,0.4358546165362916,66.6,0.5937060739862521,3.453367776190662,238.51497995264077,10.0,7.5,2.25,70.0,10.0,0.548,0.015,2.04,20.74,1.22,169.37,1.378,10.69,66.3,1.9,1.0,1.4562028803835756,True
DDO168,10,2.0,0.5,0.7,3702.813097789641,0.82,0.41,0.7596926124784696,0.24030738752153036,0.0,0.82,0.8031129352996701,0.19688706470032988,0.0,0.0,0.41,3192.291108524103,56.50036379107751,32.54285477061109,3.6158727522901213,347.92024390243904,496.37097560975616,347.92024390243904,456.8471980998819,307.02712270343056,-0.5728254931195607,52.9,0.211938850311909,2.098855630852796,30.836364714137424,10.0,4.25,0.21,63.0,6.0,0.191,0.005,1.29,18.23,1.02,92.22,0.413,4.3,53.4,1.9,2.0,0.8949905998367091,True
DDO170,8,2.0,0.5,0.7,3702.813097789641,1.87,1.87,0.312909125304816,0.6870908746951839,0.0,1.87,0.312909125304816,0.6870908746951839,0.0,0.0,1.87,2753.419890339742,52.473039652184646,43.12350390679458,6.160500558113512,128.7595989304813,128.75959893048125,nan,nan,128.39741778604792,-0.21712051387424183,59.0,0.24130936413786333,1.8321369101793377,20.140353945848936,10.0,15.4,4.62,66.0,7.0,0.543,0.03,3.03,9.39,1.95,73.93,0.735,9.14,60.0,1.6,2.0,6.236742330623101,True
ESO079-G014,15,2.0,0.5,0.7,3702.813097789641,0.98,0.41,0.011520860433082545,0.9884791395669175,0.0,0.98,0.016877224464108786,0.9831227755358911,0.0,0.0,0.41,18486.41627905103,135.96476116645457,264.81401282802034,18.915286630572883,1033.9886585365853,1175.845,1061.5414508338558,1173.500104475923,1102.1502407210783,-0.1646928312056775,175.0,1.7857404572817444,4.637632067235935,258.09157429266054,4.0,28.7,7.17,79.0,5.0,51.733,0.524,7.23,157.34,5.08,2295.25,3.14,17.67,175.0,3.5,1.0,2.003980772883616,True
